Reviewer,Date,Review,English Review
Suganya. S Mageswaran,a month ago,Food taste average only..the sambal is sweet n the price quit expensive tho..I bought Nasi lemak ayam for Rm 11,Food taste average only..the sambal is sweet n the price quit expensive tho..I bought Nasi lemak ayam for Rm 11
H H,10 months ago,Nasi sedap kena dengan sambal. Cuma portion sikit sangat tak kene dengan harga and ikan bilis tu kalau disekalikan dengan sambal lagi sedap..kalau datang peek hour memang beratur lerr..,The rice is delicious with the sambal.It's just a little bit of the portion with the price and the anchovies when it comes to the sambal again..It's coming to a peek hour.
hirofumi sakamoto,4 years ago,"Tried nasi lemak with daging rendang, sotong sambal, paru on a skewer with teh panas and paid 15.50. Kinda pricy but serving portion of squid and beef is quite generous. Sambal is quite mild with some hint of sweetness. ItÃ¢â¬â¢s within a Ã¢â¬Â¦","Tried nasi lemak with rendang beef, squid in sambal, skewered lungs, and hot tea, paid 15.50. It's a bit pricey, but the portions of squid and beef are quite generous. The sambal is mild with a hint of sweetness. It's located within a..."
Wei Jie Ng,a month ago,"I think village nasi lemak is nicer, but the ease of seating and parking here is much better. Ã¢â¬Â¦","I think village nasi lemak is nicer, but the ease of seating and parking here is much better. Ã¢â¬Â¦"
Khairul Izhar,4 months ago,Pekerja perempuan serve makanan muka ketat & tak mesra pelanggan langsung . Buat muka bila berhadapan dgn pelanggan . Ajar la staff apa itu customer service . Pelanggan dtg berbayar (Harga mahal) bukan makan free .,"The female staff serving the food had a stern and unfriendly face, showing displeasure when interacting with customers. They need to be trained in customer service. Customers come to pay (at a high price), not to eat for free."
Mohd Razif Dzulkipli,2 months ago,my 1 star for the taste of nasi lemak itself.i dont mind paying extra if the taste was good. Ã¢â¬Â¦,my 1 star for the taste of nasi lemak itself.i dont mind paying extra if the taste was good. Ã¢â¬Â¦
WL Lim,a month ago,"Good nasi lemak with lots of choice to add on such as ayam goreng, etc. Very clean and service is efficient. Price is reasonable.","Good nasi lemak with lots of choice to add on such as ayam goreng, etc. Very clean and service is efficient. Price is reasonable."
Kim Chanelle,4 months ago,Clean and bright with setup similar to a mamak. A selection of usual dishes to go with nasi lemak. Taste is good but not the best for local tastebud. Servers are friendly and playful.,Clean and bright with setup similar to a mamak. A selection of usual dishes to go with nasi lemak. Taste is good but not the best for local tastebud. Servers are friendly and playful.
Hayati K,9 months ago,Salah satu tempat makan best kat Kampung Baru. Must try. Worth it Ã°Å¸Ëâ¹ Ã¢â¬Â¦,One of the best eateries in the Kampung Baru.Must try.Worth it Ã¿ â¹Ã¢ â¬ Â¦
Nabila Haza,a year ago,"Went there for breakfast. Long queue even before 8am but still fast moving. Very spacious restaurant with many tables. Fast serving. The food is good but not the best. Limited free parking available, but there are RM5 for 3 hours parking right in front of the restaurant.","Went there for breakfast. Long queue even before 8am but still fast moving. Very spacious restaurant with many tables. Fast serving. The food is good but not the best. Limited free parking available, but there are RM5 for 3 hours parking right in front of the restaurant."
K Hkm,a month ago,Salam.. jauh datang . Sila baiki perangai pekerja. Ramai sangat kurang ajar tiada adap dgn customer .. kalo camni boikot la ..,"Greetings... came from far away. Please improve the attitude of the employees. There are too many rude and disrespectful staff members who have no manners with customers... if it's like this, boycott it."
Firdaus Kamal,3 years ago,A good place to eat nasi lemak at night in Kuala lumpur. The price little bit expensive for the basic set of nasi lemak but for the quality of sambal is superb.,A good place to eat nasi lemak at night in Kuala lumpur. The price little bit expensive for the basic set of nasi lemak but for the quality of sambal is superb.
George Khoo,10 months ago,The rice was really fragrant and the chilli nice and sweet. Otherwise the fried chicken was tough and the coffee really quite bad. But service staff was friendly. Food was quite ordinary. It's really in an ulu spot with many other local eateries but no problem getting there by cab,The rice was really fragrant and the chilli nice and sweet. Otherwise the fried chicken was tough and the coffee really quite bad. But service staff was friendly. Food was quite ordinary. It's really in an ulu spot with many other local eateries but no problem getting there by cab
faiiyahh lu,a year ago,mntp .. servis pantas. tmpt mkn yg luass. harga murah dan berbaloi . rsa sambal dia manis n pedas skitÃÂ² je ..,Great... fast service. A spacious dining place. Affordable and worth it. The sambal has a slightly sweet and spicy taste.
Naim Omar,11 months ago,Nasi Lemak Wanjo Kampung Baru ni memang padu. Sambal dia pedas-pedas manis sikit tapi portion nasi dia sikit gak tally dengan portion lauk yang banyak terpaksalah mintak extra sesenduk nasi Ã°Å¸Ëâ Lauk pauk dia memang tiptop Ã°Å¸âÂÃ°Å¸ÂÂ»Ã¢Â­ÂÃ¯Â¸ÂÃ¢Â­ÂÃ¯Â¸ÂÃ¢Â­ÂÃ¯Â¸ÂÃ¢Â­ÂÃ¯Â¸ÂÃ¢Â­ÂÃ¯Â¸Â Ã¢â¬Â¦,"Nasi Lemak Wanjo in Kampung Baru is excellent. The sambal has a slightly sweet and spicy flavor, but the portion of rice is a bit small compared to the generous serving of side dishes, so I had to ask for an extra scoop of rice. The variety of side dishes is top-notch. ??????????"
Lilo,5 months ago,"Food is not good as before.Had 3 nasi lemak,one with chicken rendang, one beef rendang n one with sotong. Ã¢â¬Â¦","Food is not good as before.Had 3 nasi lemak,one with chicken rendang, one beef rendang n one with sotong. Ã¢â¬Â¦"
Shariman R,a year ago,Best NL in town! Good job at making the crowd following despite of the long queue.  Rice portion a bit small for an adult.,Best Nasi Lemak in town! Good job at making the crowd following despite of the long queue.  Rice portion a bit small for an adult.
Baldeve Paunoo,2 months ago,"Overrated. The nasi Lemak itself is good, but dishes like rendang ayam, kerang and ayam goreng can be improved a lot.","Overrated.The nasi lemak itself is good, but dishes like chickens, shellfish and fried chicken can be improved a lot."
Jacquelyn P.S,5 months ago,"The place is huge and spacious, restaurant looks clean and long queue at 9am. Nasi lemak was nice although the ayam masak merah a bit too sweet to my liking. Overall experience was good.","The place is huge and spacious, restaurant looks clean and long queue at 9am. Nasi lemak was nice although the ayam masak merah a bit too sweet to my liking. Overall experience was good."
Ehsan Adnan,2 years ago,Khas untuk yang suka sambal jenis manis. Nasi shj memang sedap lerai gebu. Harga agak mahal sedikit (standard harga hampir semua nasi lemak femes sini ramai kata).,Special for those who like sweet sambal.The rice is really good.The price is a bit expensive (standard price for almost all famous Nasi Lemak).
NH Mai Anh,4 years ago,"itÃ¢â¬â¢s very famous place of nasi lemak so I decide to try it.I choose squid (sotong) which cost 7.5RM. ice lemon is just 1.5RM. itÃ¢â¬â¢s cheap and very delicious. the coconut rice is hot and smelt good.IÃ¢â¬â¢m very keen of Malayian food but itÃ¢â¬â¢s good with me.itÃ¢â¬â¢s very easy to find this place, itÃ¢â¬â¢s take 2 minutes walking from Kampung Baru LTR station.by the way the space is quite hot here.","It's a very famous place for nasi lemak, so I decided to try it. I chose the squid (sotong), which costs 7.5RM, and the ice lemon is just 1.5RM. It's cheap and very delicious. The coconut rice is hot and smells good. I'm very fond of Malaysian food, and it suits my taste. It's very easy to find this place; it takes 2 minutes walking from Kampung Baru LRT station. However, the space is quite hot here."
aidarara,a month ago,Berdekatan LRT kg baru.  Restoran  dlm keadaan bersih. Sambal nasi lemak sana rasa manis sikit.,Near the Kg Baru LRT.The restaurant is clean.Sambal Nasi Lemak there is a little sweet.
Hasra Nizam Hashim,3 months ago,"Very tasty, authentic and cheap Malay Nasi Lemak with good servicescape. Sambal sotong and bergedil is a must try menu together with the nasi lemak.","Very tasty, authentic and cheap Malay Nasi Lemak with good servicescape. Sambal sotong and bergedil is a must try menu together with the nasi lemak."
Hasrul Izwan,3 months ago,Driving for 60km to get this worst ever nasi lemak.the quantity of nasi is too less just like rm1 nasi.when u check out the bill nasi+egg total rm5.50.sambal had no taste..2 main thing spoilt.,Driving for 60km to get this worst ever nasi lemak.the quantity of nasi is too less just like rm1 nasi.when u check out the bill nasi+egg total rm5.50.sambal had no taste..2 main thing spoilt.
Najihah Zulkifli,a year ago,"everything was nice, the sambal is not too spicy though, got subtle sweetness but still yummy.. The que was long in the weekend but yet still fast que, dont worry.. also grab the avocado smoothies from the wanjo juice, sodapp","everything was nice, the sambal is not too spicy though, got subtle sweetness but still yummy.. The queue was long in the weekend but yet still fast queue, dont worry.. also grab the avocado smoothies from the wanjo juice, delicious"
F J,5 months ago,"Arrived at 4am, no more lauk ? We ordered nasi lemak biasa, turns out my sambal got hair flavour ? not to mention the taste of sambal is super sweet lol, would be my first and last time here.","Arrived at 4 am, but there were no more side dishes available. We ordered the regular nasi lemak, and it turns out my sambal had a hair flavor. Not to mention, the taste of the sambal is super sweet. This would be my first and last time here."
nur lina,8 months ago,The food is okay. The juice/smoothie is 5/5 The taste is so good,The food is okay. The juice/smoothie is 5/5 The taste is so good
Praend Adidarma,2 weeks ago,Sedap. Many choice for lauk. 8.5/10,Delicious.Many choice for dish.8.5/10
Huy Ãâng,a year ago,"Great food, love the rice cooked with coconut water. 10 RM for the dish, good deal!","Great food, love the rice cooked with coconut water. 10 RM for the dish, good deal!"
Steven,a year ago,"Rated one of the best Nasi lemak in KL, their sambal is good, sweet taste, to my taste. The sambal sotong and Kerang is also good Ã°Å¸âÂ, but the fried chicken is disappointing, very hard and dry, also the beef rendang, so hard that I canÃ¢â¬â¢t even chew. Ã¢â¬Â¦","Rated as one of the best Nasi Lemak in KL, their sambal is good with a sweet taste, to my liking. The sambal sotong and kerang are also good, but the fried chicken is disappointing  very hard and dry. Similarly, the beef rendang is so hard that I can't even chew."
Safiah Nur Atikah Roslan,2 months ago,"A good nasi lemak place with okay price. Very fast service, a lot of seatings and clean dining area.","A good nasi lemak place with okay price. Very fast service, a lot of seatings and clean dining area."
Dani David Chan,9 months ago,Oh my god my mind went blank from the first taste of that rendang gravy. For the next 15 mins I was in blissful nirvana. Worth the trip.,Oh my god my mind went blank from the first taste of that rendang gravy. For the next 15 mins I was in blissful nirvana. Worth the trip.
WAN FARID FALMI BIN W LATIB,3 months ago,"Nasi lemak yang sejuk..  Ayam goreng keras dan, sejuk..  Pekerja mengutip pinggan terus dimeja bila hbis makan..  Sgt rude..",Nasi lemak served cold. The fried chicken is hard and cold. The staff quickly clears the plates as soon as you finish eating. Very rude.
Nizan Ramly,a month ago,It looks clean so I'm giving it a 5. Taste good too but hoping that they will be kangkung on the offering.,It looks clean so I'm giving it a 5. Taste good too but hoping that they will be kangkung on the offering.
Awang Gentoi,3 weeks ago,"kalau nak makan, kena order nasi tambah siap2 Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£ Ã¢â¬Â¦","If you want to eat, you have to order more rice "
Azri Azahar,6 days ago,Nasi lemak sedap! Boleh cuba lagi lepas ni kalau singgah Kampung BaruÃ°Å¸ËÅ  Ã¢â¬Â¦,Delicious nasi lemak! Can try it again if you happen to be in Kampung Baru. ??
Debra Wong,5 years ago,"The beef rendang here is nice and tender - not tough, which I like. Prices are reasonable for KL standards (RM4 for basic nasi lemak, RM 3-6 per additional dishes). Recommended if you're near the area.","The beef rendang here is nice and tender - not tough, which I like. Prices are reasonable for KL standards (RM4 for basic nasi lemak, RM 3-6 per additional dishes). Recommended if you're near the area."
Khoo Jolyn,3 years ago,"As a typical Malaysian, I will go wherever a good nasi lemak is recommended. Can't deny this shop is one of the best in town. I practically tried all the dishes at one visit. The sambal sotong sotong is to die for. Equally good is the Ã¢â¬Â¦","As a typical Malaysian, I will go wherever a good nasi lemak is recommended. Can't deny this shop is one of the best in town. I practically tried all the dishes at one visit. The sambal sotong sotong is to die for. Equally good is the Ã¢â¬Â¦"
Andy Mervin George,a year ago,Clean and cosy environment. The nasi lemak is to die for especially the sambal is not too spicy and not sweet. Ordered the ayam goreng berempah and paru - juicy and heavenly!,Clean and cozy environment. The nasi lemak is to die for especially the sambal is not too spicy and not sweet. Ordered the ayam goreng berempah and paru - juicy and heavenly!
Sean Goh,3 years ago,"There was alot of hype about this stall that sells Nasi lemak. Decided to give this place a try to find out excatly what the hype is about. The standard items are the fried anchovies, cucumber and the sambal chili, for egg, you can chose Ã¢â¬Â¦","There was alot of hype about this stall that sells Nasi lemak. Decided to give this place a try to find out excatly what the hype is about. The standard items are the fried anchovies, cucumber and the sambal chili, for egg, you can chose Ã¢â¬Â¦"
Haya Sparkle,a year ago,Nasi lemak dia biasa je. Sambal nya tak lah padu sangat. Tadi amik paru. Tapi goreng nya kering sangat sampai rasa tak boleh makan. Tapi kedai dia selesa sangat. Tak panas yg penting berbanding kedaiÃÂ² lain,"His nasi lemak is just average. The sambal is not very well-balanced. Earlier, I took the lung, but it was fried so dry that it felt inedible. However, the shop is very comfortable. It's not too hot, which is important compared to other shops."
Sam Zane,3 years ago,Indoor seating can take around 140 pax. Well lit and well ventilated. Roughly 20 pax for outdoor seating. This place can get crowded day and night especially more at night. Ã¢â¬Â¦,Indoor seating can take around 140 pax. Well lit and well ventilated. Roughly 20 pax for outdoor seating. This place can get crowded day and night especially more at night. Ã¢â¬Â¦
Azmi A,a year ago,"The steamed nasi lemak served with delicious sambal and other tasty add ons like ayam goreng berempah, sambal sotong etc are absolutely pleasant treat for my hungry stomach today","The steamed nasi lemak served with delicious sambal and other tasty add ons like ayam goreng berempah, sambal sotong etc are absolutely pleasant treat for my hungry stomach today"
Ajas Hyzer,6 months ago,had Nasi Lemak with wide variety of non-veg dishes,had Nasi Lemak with wide variety of non-veg dishes
Sharul Iezuani Hifni,3 months ago,Nasi lemak dan lauk sedap.. sambal tumisnya tidak terlalu pedas sesuai untuk kanak-kanak. Recommend!,"The nasi lemak and dishes are delicious. The sambal tumis is not too spicy, suitable for children. Highly recommend!"
Syaza Nabilah,3 years ago,"First time here. The nasi lemak somehow reminds me of my sekolah rendahÃ¢â¬â¢s nasi lemak. The taste was exactly the same, hence IÃ¢â¬â¢m giving them 3 stars for this. However, the nasi lemak was damn overpriced ! First and last visit I would say. Other than the exact taste like my primary school, nothing special bout this place.","First time here. The nasi lemak somehow reminds me of my primary school's nasi lemak. The taste was exactly the same, hence I'm giving them 3 stars for this. However, the nasi lemak was damn overpriced! First and last visit, I would say. Other than the exact taste from my primary school days, there's nothing special about this place"
Totodilite,5 months ago,The absolute best nasi lemak in Kampung Baru. It's a highlight of said place and I would always visit it whenever I'm there. The prices are reasonable and everything about the nasi lemak are just pure delicious. Definitely my favourite nasi lemak place in all of Kuala Lumpur,The absolute best nasi lemak in Kampung Baru. It's a highlight of said place and I would always visit it whenever I'm there. The prices are reasonable and everything about the nasi lemak are just pure delicious. Definitely my favourite nasi lemak place in all of Kuala Lumpur
Fatimah Nur Zahra,a year ago,Neat. Clean. Good service. A little rice. The side dish is delicious and worth it. Sambal yums!Atmosphere is best for lunch and dinner.,Neat. Clean. Good service. A little rice. The side dish is delicious and worth it. Sambal yums!Atmosphere is best for lunch and dinner.
Norita Abu Bakar,a year ago,"My first time to this restaurant in Kg Baru. This restaurant is large, spacious and clean. Food is good and tasty. A lot of side dishes available. Overall value for money.","My first time to this restaurant in Kg Baru. This restaurant is large, spacious and clean. Food is good and tasty. A lot of side dishes available. Overall value for money."
abode solutions (annuar.ibrahim),4 years ago,My favourite nasi lemak in kl.. Fried liver and begedil very delicious... spacious and price is a bit expensive compare to normal nasi lemak stall but reasonable.. A must try in a meal in kl,My favourite nasi lemak in kl.. Fried liver and begedil very delicious... spacious and price is a bit expensive compare to normal nasi lemak stall but reasonable.. A must try in a meal in kl
Nadiah Awang,a month ago,"Nasi lemak sedap, byk pilihan lauk. Kedai Bersih, servis laju. Ã°Å¸âÂÃ°Å¸âÂÃ°Å¸âÂ Puas hati Ã¢â¬Â¦","Delicious nasi lemak, many choices of dishes. The shop is clean, and the service is fast. ?????? Satisfied."
Shirley Sy,5 years ago,"Not sure what the hype is about! Everything was served lukewarm and the meat (I had rendang and fried chicken) was very dry and tough. Sambal was also far too sweet. Overall only the coconut rice was good. Do not recommend, there are other better Nasi lemak restaurants","Not sure what the hype is about! Everything was served lukewarm, and the meat (I had rendang and fried chicken) was very dry and tough. The sambal was also far too sweet. Overall, only the coconut rice was good. Do not recommend; there are other better nasi lemak restaurants."
cat play,7 months ago,Clean premise and spacious. I rated service at 2 stars because there is no table service. Had to queue and you choose what you want in your Nasi Lemak.If you choose meat or Chicken the price Is RM 10. If you choose hard boiled egg it will Ã¢â¬Â¦,Clean premise and spacious. I rated service at 2 stars because there is no table service. Had to queue and you choose what you want in your Nasi Lemak.If you choose meat or Chicken the price Is RM 10.  Ã¢â¬Â¦
edgykay,3 years ago,"Came all the way here as it kept being recommended as one of the best nasi lemak in town. Dont quite meet the expectations. The sambal was so so, a little too sweet to my liking. The rest of the dishes are average at best.","Came all the way here as it kept being recommended as one of the best nasi lemak in town. Dont quite meet the expectations. The sambal was normal, a little too sweet to my liking. The rest of the dishes are average at best."
Rahmita Wirza O.K. Rahmat,a year ago,Delicious nasii lemak with a lot of choices lauk. Spaces eating place and very clean. Definitely will come again,Delicious nasi lemak with a lot of choices dishes. Spaces eating place and very clean. Definitely will come again
Mohd Sharizan Nordin,2 years ago,Price wise is comparable to Tanglin's. The sambal here hits the right spot. Portion is huge. Standard nasi lemak comes with 1 whole egg.,Price wise is comparable to Tanglin's. The sambal here hits the right spot. Portion is huge. Standard nasi lemak comes with 1 whole egg.
Elvi Thio,a year ago,"Quick & easy nasi lemak joint. It costs RM8+ for a plate that include coconut rice, sambal, cucumbers, and chicken. Then you can add on proteins like eggs or more chicken or crockles for additional price. Ã¢â¬Â¦","Quick & easy nasi lemak joint. It costs RM8+ for a plate that include nasi lemak, sambal, cucumbers, and chicken. Then you can add on proteins like eggs or more chicken or cockles for additional price. Ã¢â¬Â¦"
zulhazri naim,4 months ago,Nasi lemak mantap.. Service laju..persekitaran bersih n selesa..Walau ramai customer tapi tempat duduk tetap ade..,"Delicious nasi lemak. Fast service. Clean and comfortable environment. Even though there are many customers, there are still available seats."
mohdzahrin romainodin,3 months ago,"Sambal manis xkena dgn selera, ayam keras & kering mat maybe ak xde luck terkena yg overcooked punya ayam.","The sweet sambal doesn't match the taste, the chicken is tough and dry, maybe I was unlucky to get chicken that was overcooked."
Sofea Asyiqin,a year ago,"Best place to have breakfast in KL. Huge sitting area, various choices of dish, reasonable price. Definitely will visit again Ã¢ÅÂ¨","Best place to have breakfast in KL. Huge sitting area, various choices of dish, reasonable price. Definitely will visit again Ã¢ÅÂ¨"
Chan Siong Wee,4 years ago,Morning 8:45 am so many people eat nasi lemak here so I come and try. We 4 person eating and 2 teh Tarik only Rm34.50 the price is very high and sambal not spicy for me.,Morning 8:45 am so many people eat nasi lemak here so I come and try. We 4 person eating and 2 teh Tarik only Rm34.50 the price is very high and sambal not spicy for me.
Hazim,6 months ago,"Went for sahur, not crowded with the customers but crowded with the staff at the entrance and the rice sections. The staff inside the nasi lemak cubicle was gossiping about works loudly with some cursing and offensive words while customers Ã¢â¬Â¦","Went for sahur, not crowded with the customers but crowded with the staff at the entrance and the rice sections. The staff inside the nasi lemak cubicle was gossiping about works loudly with some cursing and offensive words Ã¢â¬Â¦"
ieka alias,a year ago,Not valid price.. Small portion of nasi lemak.. Suppose to be measure the nasi lemak by using scope.. Not put randomly... Sambal nasi lemak also not nice..,Not valid price.. Small portion of nasi lemak.. Suppose to be measure the nasi lemak by using scope.. Not put randomly... Sambal nasi lemak also not nice..
kiyuamr,3 months ago,rasa mcm nasi lemak biase but its so expensive. not worth to make it a daily meal. Kalau nak try sekali boleh,"Tastes like regular nasi lemak, but it's so expensive. Not worth making it a daily meal. If you want to try it once, you can"
Nur Aisyah,4 months ago,"Cedok nasik kalut2 tu xpa lah sbb org ramai , tp bila mntak sambal asing buat muka pulak. Mcm kita ada kita mntak nasik free.","Scooping rice in a hurry is fine because there's a crowd, but when asking for extra sambal, they make a face. It's like we're asking for free rice."
Hamizah Hamid,5 months ago,"For me, the portion is small. But it is okay if you take side dishes. The rice not very lemak and taste good. Sambal not very spicy which is okay.","For me, the portion is small. But it is okay if you take side dishes. The rice not very lemak and taste good. Sambal not very spicy which is okay."
Aditi Kamat,a year ago,"The sambal was bagusÃ°Å¸âÂÃ°Å¸âÅ, but they don't give kacang, which is my actually my favorite. But overall great experience Ã°Å¸Ëâ° Ã¢â¬Â¦","The sambal was excellent????, but they don't give peanuts, which are actually my favorite. But overall, a great experience????."
Halena Tamrin,7 months ago,"first time after refurbishment...nampak spacious n exclusive. bnyk new/fancy drinks...nasi dia mmg sedap but lauk2 dia, hmmm....home made is better.","First time after refurbishment... looks spacious and exclusive. Many new/fancy drinks... the rice is indeed delicious, but as for the dishes, hmm.... homemade is better."
vell vegan,3 months ago,Food was superb. Layanan terbaik.Even kakak there was very kind and alert me that the begedil contain beef when she know im hindu. Very good. Also the sambal was awesome.,"The food was superb. Best service. Even the sister (referring to a female staff member) there was very kind and alerted me that the begedil contained beef when she knew I'm Hindu. Very good. Also, the sambal was awesome."
Donald Cheong,8 months ago,"Dlu kite agak kerap jugak dtg mkn sni. Tp da lama x dtg, td sempat singgah tghri. X jam. Nasi - Aroma nasi lemak dia mmg wangi. 1 of the best nasilemak. Sambal - tekstur pekat, manis2 skit. Xde bwg xde ikanbilis dlm smbal. Nk kata sedap sgt Ã¢â¬Â¦","In the past, we used to come here quite often. But it's been a long time since I last came, managed to stop by today at noon. Not crowded. Rice - The aroma of the nasi lemak is truly fragrant. One of the best nasi lemak. Sambal - Thick texture, slightly sweet. No onions, no anchovies in the sambal. Can't say it's very tasty"
Carrot Art Studio,a year ago,Bagi 5star sbb cara diorg uruskan bisnes tu tiptop..ada dine in dan take away..nampak panjang drp luar sbb ada satu line tuk dine in n take away..bila da masuk dalam byk lagi ruang kosong.. dari segi rasa sambal biasa2 je.rasa sambal tu Ã¢â¬Â¦,"Giving 5 stars because the way they manage their business is excellent. They have both dine-in and take-away options. It looks long from the outside because there is a separate line for dine-in and take-away. Once inside, there is plenty of empty space. In terms of taste, the sambal is just average. "
Cikgu Iffa,a year ago,"Satisfied Ã°Å¸âÂ. I took nasi lemak kerang plus paru with additional nasi. Nasi lemak ayam, nasi lemak rendang best too. The price for me is quite expensive because nasi lemak biasa is rm5 compared in my place is still rm3. But the taste is good and nice. Ã¢â¬Â¦","Satisfied . I took nasi lemak kerang plus paru with additional nasi. Nasi lemak ayam, nasi lemak rendang best too. The price for me is quite expensive because basic nasi lemak is rm5 compared to my place is still rm3. But the taste is good and nice. Ã¢â¬Â¦"
Studio Iqbal,7 months ago,"Ramai yang viralkan kedai ni katanya sedap nasi lemaknya. Jadi bila dah cuba, harganya tersangat mahal. Nasinya tak ada rasa berlemak, sambalnya terlalu manis, ikan bilis sangat sikit. Mungkin selera orang lain berbeza. Bagi saya cukuplah Ã¢â¬Â¦","Many have been viralizing this shop, claiming that its nasi lemak is delicious. So when I tried it, the price was extremely high. The rice has no rich taste, the sambal is too sweet, and there are very few anchovies. Perhaps others have different tastes. For me, it's sufficient"
Shafiq Bal,a year ago,"For typical MALAY Malaysian like me,Nasi Lemak Wanjo just okay not to hype,can find much better Nasi Lemak.Sambal too sweet and Lemak in Rice was not enough,rice portion quite small for the price.Ayam Goreng Berempah for me was Main Star. Ã¢â¬Â¦","For typical MALAY Malaysian like me,Nasi Lemak Wanjo just okay not to hype,can find much better Nasi Lemak.Sambal too sweet and Lemak in Rice was not enough,rice portion quite small for the price.Ayam Goreng Berempah for me was main star. Ã¢â¬Â¦"
Hazree Hafiz Mohd Hanapi,7 months ago,rasa sedap tapi hrga agak keras.. kedai selesa... manggo smooties recommended...Ã°Å¸âÂÃ°Å¸âÂ Ã¢â¬Â¦,It tastes good but it's a bit hard .. The shop is comfortable ... Manggo Smooties Recommended ... Ã¿ 'Ã¿' Ã¢ â¬ Â¦
Zhr,9 months ago,Not the best nasi lemak but still good option to dine in,Not the best nasi lemak but still good option to dine in
Mike Oliphant,4 years ago,"Had a great nasi lemak breakfast here. Nice coconut flavour to the rice, and the beef rendang and chicken were very good.","Had a great nasi lemak breakfast here. Nice coconut flavour to the rice, and the beef rendang and chicken were very good."
David Ã¢â¬ÅThe ExplorerÃ¢â¬Â Hogan Jr,5 years ago,"Honestly, Wanjo has upped their game, and is now one of the best nasi lemak in Kampung Bharu, KL. I did a side-by-side comparison with Nasi Lemak Antarabangsa, and my conclusion is that Nasi Lemak Wanjo beats them on many levels. Ã¢â¬Â¦","Honestly, Wanjo has upped their game, and is now one of the best nasi lemak in Kampung Bharu, KL. I did a side-by-side comparison with Nasi Lemak Antarabangsa, and my conclusion is that Nasi Lemak Wanjo beats them on many levels. Ã¢â¬Â¦"
Razali Abdul Malik,2 months ago,Lauk sedap tapi harga mahal. Telor mata goreng 1 RM 1:30 & telor rebus sebiji 1:30.,"The dishes are delicious, but the prices are high. Fried eggs cost RM 1.30 each, and boiled eggs are also RM 1.30 each."
Mohd Izzuddin Ishak,4 months ago,No comment needed. One of the best SAMBAL NASI LEMAK selain restoran Lontong Klang dan Family Kopitiam di Klang. Both kedai di Klang ni ada sediakan nasi lemak since 1970s.,"No comment needed. One of the best NASI LEMAK SAMBAL, besides Lontong Klang and Family Kopitiam in Klang. Both of these shops in Klang have been serving nasi lemak since the 1970s"
Jessie Lee,5 years ago,"Nasi, ikan bilis,  sambal sedap Ã°Å¸Ëâ¹ sotong,  kerang okay,  ayam masak merah so so only.  Should order ayam rempah as many people order. Teh tarik good. Ã¢â¬Â¦","Rice, anchovies, and sambal are delicious. Squid and cockles are okay, and the chicken cooked in red sauce is just average. Should order the spiced chicken, as many people do. The teh tarik is good."
ATAT1120,5 months ago,Good nasi lemak. Rendang daging best. Do note that they're closed for at least an hour on Friday at 1 pm for praying. Can park at the opposite parking but RM5 for max 3hours.,Good nasi lemak. Rendang daging best. Do note that they're closed for at least an hour on Friday at 1 pm for praying. Can park at the opposite parking but RM5 for max 3hours.
serena wiranta,a month ago,"The location is very close to LRT station.The nasi lemak is very delicious, the ikan bilis is crispy and they gave you very generous of sambal.  There was a queue not very long but they served very fast so you don't have to wait very long.  The atmosphere was very good as along the alley you can find lots of foods.Vegetarian options: You can have the nasi lemak and egg only and have juice or smoothies.","The location is very close to LRT station.The nasi lemak is very delicious, the anchovies is crispy and they gave you a very generous of sambal.  There was a queue not very long but they served very fast so you don't have to wait very long.  The atmosphere was very good as along the alley you can find lots of foods.Vegetarian options: You can have the nasi lemak and egg only and have juice or smoothies."
Serena Ã¢â¬ÅLisa CÃ¢â¬Â Lisa,4 years ago,"Hmmm honestly had tastier nasi lemak. The sambal is abit sweet instead of spicy. Anchovies & fried chicken salty i must say. Sambal kerang abit disappoitment (i cant taste it,literally). Chicken rendang not so flavourful. Probably this is our 1st and last time coming here. Btw they were friendly towards foreigner Ã°Å¸ËÂ Ã¢â¬Â¦","Hmmm honestly had tastier nasi lemak. The sambal is a bit sweet instead of spicy. Anchovies & fried chicken salty i must say. Sambal kerang a bit disappoitment (i cant taste it, literally). Chicken rendang is not so flavourful. Probably this is our 1st and last time coming here. Btw they were friendly towards foreigner Ã°Å¸ËÂ Ã¢â¬Â¦"
Syaz Yukki,a year ago,Terbaikkk...great and popular nasi lemak...it also near to popular Saloma Bridge that near to KLCC,"The best...great and popular nasi lemak...it is also near the popular Saloma Bridge, which is close to KLCC."
Gerald Lau,4 years ago,"Fragrant coconut rice, sweet but not too spicy sambal. The sotong (squid) and kerang (cockles) sambal was good. Ã¢â¬Â¦","Fragrant coconut rice, sweet but not too spicy sambal. The sotong (squid) and kerang (cockles) sambal was good. Ã¢â¬Â¦"
Razlan Samsudin,3 months ago,Great nasi lemak place! Delicious with various side dishes to choose from. Affordable priced and ample seating.,Great nasi lemak place! Delicious with various side dishes to choose from. Affordable priced and ample seating.
Thew Guat Hoon,3 years ago,"Best nasi Lemak, ling queuing with people, not matter Chinese, Malay or Indian. Sometimes tourists from different places. Is good to visit if you not so hungry.","Best nasi Lemak, long queue with people, not matter Chinese, Malay or Indian. Sometimes tourists from different places. Is good to visit if you not so hungry."
