Reviewer,Date,Review,English Review
Mohammad Farid Fadzilah,8 months ago,Kedai yang terletak di kg baru kuala lumpur ini berada di kawasan yang padat namun terdapat banyak parking berbayar yang di sediakan. Rm5 untuk 3 jam. â€¦,The shop located in Kg Baru Kuala Lumpur is in a dense area but there are many paid parking provided.RM5 for 3 hours.â € ¦
Anjung Sirajuddin,4 months ago,Warung Nasi Lemak yg sangan delicious di kawasan kuliner kampung baru,A very delicious Nasi Lemak stall in the culinary area of Kampung Baru.
Norman Seah,2 months ago,"They have been in business for a few decades, and the food quality is consistent. They are well mannered despite their growth & expansion. Some business owners are proud & arrogant after receiving some ""attention"", and securing tiny â€¦","They have been in business for a few decades, and the food quality is consistent. They are well mannered despite their growth & expansion. Some business owners are proud & arrogant after receiving some ""attention"", and securing tiny â€¦"
Kit Teguh,a year ago,"I knew Wanjo through a friend of mine who always brought his foreign friends to this place if they wanted to have nasi lemak. While it's not my favourite in town, I would also do the same if I have friends coming over, or even if I wanted a â€¦","I knew Wanjo through a friend of mine who always brought his foreign friends to this place if they wanted to have nasi lemak. While it's not my favourite in town, I would also do the same if I have friends coming over â€¦"
fariha zulkiply,4 months ago,Kedai yg bersih. Kena dtg naik lrt baru selesa sebab tak payah nak serabut pasal parking. Servis yg pantas. Nasi lemak dan sambal sedap. Ayam goreng dihidang panas2. Cuma tempe agak liat. Harga mahal nak dibandingkan dengan portion yang dapat.,A clean shop. It's comfortable to come by LRT because you don't have to worry about parking. Fast service. Nasi lemak and sambal are delicious. The fried chicken is served hot. Only the tempe is a bit tough. The price is high compared to the portion you get.
Roslin Jamil,3 weeks ago,The nasi lemak good. Sambal not so spices and alot of varieties add on food. Juices at affordable price and pau all same price whether you take kaya or chicken curry,"The nasi lemak is good. The sambal is not very spicy, and there are a lot of varieties of add-on food. Juices are at an affordable price, and the pau is all the same price whether you take kaya or chicken curry."
khairillah yakup,a year ago,"BANYAK LAUK PILIHAN . NASI SEDAP. CUMA SAMBAL TIDAK KENA SELERA SAYA. SBB MCM KE ARAH CAIR2 , JUGA KURANG2 PEDAS.ðŸ˜… BOLEH CUBA AMBIL PENGALAMAN. â€¦",MANY CHOICES OF SIDE DISHES. DELICIOUS RICE. ONLY THE SAMBAL DOESN'T SUIT MY TASTE. BECAUSE IT'S KIND OF LIQUIDY AND ALSO LESS SPICY
Wahidi Nazri,3 months ago,"Sedap.. sambal sedikit manis, tapi sedap, tak terlalu pedas.. banyak lauk..","Delicious.. the sambal is slightly sweet, but tasty, not too spicy.. plenty of side dishes."
Faiq Safian,a year ago,"Kedai dah siap renovate cantik, bersih. Alhamdulilah time pergi tak ramai orang & senang cari parking. sedap la juga nasi lemak nya, ikan bilis dia crunchy, ayam pun beso penampo aku dia bagi. Total rm13 untuk nasi lemak + tempe +ayam goreng & teh ais","The shop has been nicely renovated, clean. Thankfully, there weren't many people when I went, and it was easy to find parking. The nasi lemak is delicious; the anchovies are crunchy, and the chicken they gave was substantial. The total was RM13 for nasi lemak + tempe + fried chicken & iced tea."
EK Tobias,a year ago,"Honestly, its too mediocre. Failed to find anything special about nasi lemak here as what had been viral about. The ayam goreng berempah is OK. Nasi too peroi (altho the lemakness taste quite OK). The sambal is (too darn) sweet and cair, which is a huge turn off.","Honestly, it's too mediocre. Failed to find anything special about nasi lemak here as what had been viral. The ayam goreng berempah is OK. The rice is too peroi (although the lemakness taste is quite OK). The sambal is (too darn) sweet and runny, which is a huge turn-off."
Abdullah Izzat,4 years ago,Very nice Nasi Lemak! I am really surprised on how really good it is to eat here. The service is also really fast and efficient. The place are very clean too! Bravo! â€¦,Very nice Nasi Lemak! I am really surprised on how really good it is to eat here. The service is also really fast and efficient. The place are very clean too! Bravo! â€¦
ridwan Tasripan,4 months ago,"Nasi helok. Lauk helok. Senang kate cukup rase, cukup sifat. Nasi terase lemaknye. Sambal tak pedas sgt tak manis sgt. Elok je kejadiannye. Lauk plak berbagai2. Ade sambal sotong, rendang ayam, kerang sambal, paru, ayam goreng tu ade lah â€¦","The rice is good. The side dishes are good. Simply put, it has a satisfactory taste and quality. The rice has a noticeable richness. The sambal is not too spicy, not too sweet. It's just right. The variety of side dishes includes sambal squid, chicken rendang, cockles in sambal, lungs, and fried chicken."
A. Wong,a year ago,"Very affordable price. The place is very clean and provide free filtered water, you will see a few Coway water filter around. Love the ikan bilis and sambal a lot, that i bought a tub of each home. They really have sufficient manpower to â€¦","Very affordable price. The place is very clean and provide free filtered water, you will see a few Coway water filter around. Love the ikan bilis and sambal a lot, that i bought a tub of each home. They really have sufficient manpower to â€¦"
Wan Lee,9 months ago,"Sambal Nasi Lemak is deliciousThere are a variety of side dishes, I ordered the chicken rendang nasi lemak which is the best, the service is ok even though there are a lot of people, the service is fast, because the way you want to eat there and the package is separated.","Sambal Nasi Lemak is deliciousThere are a variety of side dishes, I ordered the chicken rendang nasi lemak which is the best, the service is ok even though there are a lot of people, the service is fast, because the way you want to eat there and the package is separated."
Feizal Samat,2 months ago,"Taste the same from my last visit a few years ago which is great. The rice is lightly infused so you won't get that overwhelmingly ""lemak"" taste. Sambal is on the mild side so everyone can enjoy.","Taste the same from my last visit a few years ago which is great. The rice is lightly infused so you won't get that overwhelmingly ""lemak"" taste. Sambal is on the mild side so everyone can enjoy."
Lois CH,10 months ago,"come here bcoz of >6000 google reviews, taste so-so only, egg not fresh can see from the shape, parking cheapest RM3 same road, 8am already many people. Ayam rendamg too salty, RM10 nssi lemak + ayam rendang ok, just taste not as good as expected.","Came here because of >6000 Google reviews, taste is average only. The egg doesn't seem fresh, evident from its shape. Parking is the cheapest at RM3 on the same road. At 8 am, there were already many people. The ayam rendang is too salty. RM10 for nasi lemak + ayam rendang is okay, but the taste is not as good as expected."
Jennifer Li,4 months ago,"My husband and I loved this place! We were looking for a restaurant that specialized in no frills Nasi Lemak and we are so glad we decided on this place! Ordering was efficient because it was cafeteria style, and all of the sides were â€¦","My husband and I loved this place! We were looking for a restaurant that specialized in no frills Nasi Lemak and we are so glad we decided on this place! Ordering was efficient because it was cafeteria style,"
Ainatul Amin,5 months ago,nasi lemak biasa sangat sangat. serupa nasi lemak kantin sekolah makcik tak pandai masak punya version. â€¦,"The nasi lemak is very ordinary. It's like the school canteen version that Auntie, who isn't good at cooking, would make. ..."
KF LEONG,5 months ago,been here many times. the place looks a lot cleaner and more spacious compared to many years ago. good to experience the food here although not the best nasi lemak for me personally. very sweet style of sambal. some nasi lemak sambal more â€¦,been here many times. the place looks a lot cleaner and more spacious compared to many years ago. good to experience the food here although not the best nasi lemak for me personally. very sweet style of sambal. some nasi lemak sambal more â€¦
Shaik Buhari,10 months ago,"Big eating area.  Aircon area costs RM1 per person. Basic set starts at RM 5, with egg and ikan bilis","Big eating area.  Aircond area costs RM1 per person. Basic set starts at RM 5, with egg and ikan bilis"
Zawawi Ramli,11 months ago,"At first agak sceptical jugak dgn kedaiÂ² viral ni. Tapi bila dah rasa sendiri, betul sedap dan harga berbaloi. Cuma akak yg jaga kaunter tu senyum lah sikit, gaduh dgn suami ke ape? Hahaha","At first, I was somewhat skeptical of these viral shops. But after trying it myself, it's really delicious, and the price is worth it. Just the lady at the counter, she could smile a bit, is she having a quarrel with her husband or what? Hahaha"
Khairiyah Halim,4 months ago,Went on a Sunday afternoon for lunch. Had no queue and service was fast and the staffs were friendly. Prices are affordable and very worth it for the food and portion you're paying. Variety of dishes to choose from for your nasi lemak. Nasi is creamy and light.,Went on a Sunday afternoon for lunch. Had no queue and service was fast and the staffs were friendly. Prices are affordable and very worth it for the food and portion you're paying. Variety of dishes to choose from for your nasi lemak. Nasi is creamy and light.
Juan H (MjMax15),11 months ago,1st time dine here. purposely nasi lemak with lots lauk to choose. delicious and spacious area. parking is limited for road side.,1st time dine here. purposely nasi lemak with lots dishes to choose. delicious and spacious area. parking is limited for road side.
Muhamad Syahmi,a year ago,"Their Nasi Lemak is truly splendid! The hype is real. If you guys want to try it, just ride the LRT and stop at Kampung Baru train stop. Just 3 minute walk to the restaurant. Donâ€™t go by car. Traffic is horrible.","Their Nasi Lemak is truly splendid! The hype is real. If you guys want to try it, just ride the LRT and stop at Kampung Baru train stop. Just 3 minute walk to the restaurant. Don't go by car. Traffic is horrible."
Joel Jehoshaphat,a month ago,Went there early around 6.30. no queue parked by the side of the road had ample parking spaces. Food was good but nothing extraordinary. Ayam rendang tasted quite good and portion was good.,Went there early around 6.30. no queue parked by the side of the road had ample parking spaces. Food was good but nothing extraordinary. Ayam rendang tasted quite good and portion was good.
Moozs M.,4 weeks ago,"Not that great nasi lemak. Despite the options of lauk or dishes, the taste is like they are laden with MSG that makes you mouth dry and thirsty the whole day.","Not that great nasi lemak. Despite the options of lauk or dishes, the taste feels like they are laden with MSG, making your mouth dry and thirsty the whole day."
Khairul Anam,a month ago,Makanan dia biasa je la. Tapi harga dia mahal jugak.,The food is normal.But the price is expensive.
Ews,a year ago,Delicious food! I came here Sunday morning around 9am and waited 20 mins.. I went back again Monday morning and there was no wait.. really good Nasi Lemak,Delicious food! I came here Sunday morning around 9am and waited 20 mins.. I went back again Monday morning and there was no wait.. really good Nasi Lemak
Fahmie Izwan,4 years ago,"Memang rasa Nasi lemak real zaman kanak2 dulu 70an,80an dan 90an..bila makan teringat beli nasi dkt kampung2 dulu..lauk daging rendang dia sedap. â€¦","Indeed, it tastes like the real Nasi Lemak from the days of childhood in the '70s, '80s, and '90s. When eating, it brings back memories of buying rice in the villages back then. The beef rendang side dish is delicious. ..."
Sean Lim,a year ago,"This place as a wide array of side dishes to choose from. Price is also reasonable with plenty of seating area. There was a line when I arrived but everything is very fast. I ordered 3 side dishes, ayam rendang, kerang and paru with Teh O â€¦","This place as a wide array of side dishes to choose from. Price is also reasonable with plenty of seating area. There was a line when I arrived but everything is very fast. I ordered 3 side dishes, ayam rendang, kerang and paru with Teh O â€¦"
ezau zau,2 weeks ago,Nice... byk pilihan lauk pauk... cuma loc di kpg baru... jln masuk sgt sesak.. jarangÂ² nk dpt waktu tak sesak.. parkingÂ² dlm Private area.. 3 jam rm5,Nice... a lot of choices for side dishes... just the location in Kampung Baru... the entrance is very congested.. rarely get a time when it's not congested.. parking is available in private areas.. 3 hours for RM5.
hadi azman,a year ago,"Nasi dia kurang lemak mnkin sbb santan skrng dh naik harga kn, tapi blh la daripada x ada ðŸ‘ðŸ‘ â€¦","The rice is less creamy, perhaps because coconut milk has become more expensive now, but it's okay, better than having none."
muzam ishak,2 years ago,"Kedai dah cantik. Bersih. Pekerja pun ramai. Kaunter dibahagi dua untuk dine in dan take away. Beratur pun tak lama. Meja pun banyak, tak perlu risau tak cukup tempat duduk. Nasi lemak biasa harga RM4 sepinggan. Ade telur rebus sebijik. Rasa masih sedap macam dulu. Cuma kalau bulan puasa, makan time malam nasi agak sejuk sedikit.","The shop is now beautiful and clean. There are many workers, and the counter is divided into two for dine-in and take-away. Even if there's a queue, it doesn't take long. There are plenty of tables, so you don't have to worry about not having enough seating. The regular nasi lemak is priced at RM4 per serving and comes with a boiled egg. The taste is still delicious, just like before. However, during the fasting month, when eating at night, the rice may be slightly cold."
Sarah Yumni,a year ago,Customer friendly restaurant. Pukul 10 malam still meriah. Masuk kedai you can see 2 different lanes â€” dine in & takeaway. They have a lot of variety lauk. Just choose lauk apa and terus bayar. The lauks & nasi lemak sedap. Air you need to â€¦,"Customer-friendly restaurant. It's lively even at 10 p.m. When you enter the restaurant, you can see two different lanes � one for dine-in and the other for takeaway. They offer a wide variety of side dishes. Just choose your desired side dishes and proceed to pay. The side dishes and nasi lemak are delicious. As for drinks, you need to..."
Sharina M Sharif,7 months ago,Large portion. Very tasty. Very popular. Thr place a bit hot and humid during midday but it's not a problem as the food and service is good.,Large portion. Very tasty. Very popular. The place a bit hot and humid during midday but it's not a problem as the food and service is good.
Annie Halimaton,3 years ago,"This place good for tourist . Because they can know about nasi lemak at Malaysia . Sambal  also was good!! I really love it , btw they no branch , only at kg Baru!!! Donâ€™t worry about parking , because there a lot of parking but rm5 per â€¦","This place good for tourist . Because they can know about nasi lemak at Malaysia . Sambal  also was good!! I really love it , btw they no branch , only at kg Baru!!! Don't worry about parking , because there a lot of parking but rm5 per 3 hours â€¦"
Md Suhaimi,a year ago,One of the best Nasi Lemak at Kuala Lumpur! Highly recommend especially the ayam goreng. Definitely will come back again,One of the best Nasi Lemak at Kuala Lumpur! Highly recommend especially the ayam goreng. Definitely will come back again
Dyllan Sandra,4 months ago,Staff dia duk ramai2 dlm kaunter amek nasi tu  tah apa dia borak2 pandang aku mcm aku ni ada hutang dgn dia! Makanan mahal nak mampus! Food was so so plk.Tgh duduk dkt table dia suruh pindah tempat duduk tempat lain yg tuk duduk 4 org je tak boleh duduk dkt meja 6org? Kau rasa!!aku dh duduk dh makan kot ! Mahal2 tp service out,"The staff were crowded behind the counter, chatting amongst themselves, and they looked at me as if I owed them something! The food is ridiculously expensive! The food quality was mediocre. While sitting at a table, they asked us to move to another table meant for four people instead of six. Can you believe it? I was already seated and eating! The prices are high, but the service is out..."
Khairul Anuar Ibni,3 months ago,"Food was wonderful. The rendang beef retains it flavor even without the gravy showing it been slow cooked for a while. Generous quantity of the â€œsotongâ€, cockles and â€œsambalâ€. Place was very clean and very well organized. For air condition area you pay a nominal $1 ringgit. Worth it with the heat outdoor. Recommended ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ â€¦","Food was wonderful. The rendang beef retains it flavor even without the gravy showing it been slow cooked for a while. Generous quantity of the sotong, cockles and sambal�. Place was very clean and very well organized. For air condition area you pay a nominal $1 ringgit. Worth it with the heat outdoor. Recommended"
fattyboy _69p2,10 months ago,[Halal] The rice was nice with coconut fragrance smell. Sambal was okay but the fried chicken was over fried for me.  Its something I won't cry for more to add. Cost: Myr14 inclusive the kerang and egg,[Halal] The rice was nice with coconut fragrance smell. Sambal was okay but the fried chicken was over fried for me.  Its something I won't cry for more to add. Cost: Myr14 inclusive the kerang and egg
Catherine Halim,3 years ago,"Very famous with their delicious nasi lemak, crispy chicken and other lauk. The taste was sweet and spicy, both mix with well. Other than that, mango and avocado shake also delicious and vitagen are free for kids. Besides, the staff are â€¦","Very famous with their delicious nasi lemak, crispy chicken and other dish. The taste was sweet and spicy, both mix with well. Other than that, mango and avocado shake also delicious and vitagen are free for kids. Besides, the staff are â€¦"
Hani M,5 months ago,"Kedai bersih dan selesa, cuma panas sikit di tengah hari. Maybe next time kena pasang aircond :)","The shop is clean and comfortable, just a little hot in the afternoon.Maybe next time you have to install aircond :)"
Hidayah halim chua,4 months ago,Lots of place to sit. Food is good. Parking might be little bit hard to get.,Lots of place to sit. Food is good. Parking might be little bit hard to get.
Mata Vato (matavato),3 months ago,Best mango shake and nasi lemak we have eaten in Kuala Lumpur. The flavor of the coconut rice for the national dish of the Malaysians was subtle but still tasty and fit perfectly with the other ingredients. Can only recommend to stop by here to indulge in both,Best mango shake and nasi lemak we have eaten in Kuala Lumpur. The flavor of the coconut rice for the national dish of the Malaysians was subtle but still tasty and fit perfectly with the other ingredients. Can only recommend to stop by here to indulge in both
taufiq zainal,9 months ago,It's a wonderful experience the nasi lemak is aromatic just that the sambal for me is not to spicy.. for those who love not to spicy it's a best place for u to lepak.  But overall the food are satisfied. P/S Good Luck with the car park if u can find one,"It's a delightful experience; the nasi lemak is fragrant, but the sambal, in my opinion, is not too spicy. For those who prefer less spiciness, it's an ideal place to hang out. Overall, the food is satisfying. P/S Good luck with finding a parking space if you can."
Mohd Habib Murtadza Hanafiah,2 months ago,"One of the famous Nasi lemak you can get in KL. Some of Malaysian dont like as the sambal not to spicy, but good for someone who doesnt like spicy sambal","One of the famous Nasi lemak you can get in KL. Some of Malaysian dont like as the sambal not to spicy, but good for someone who doesnt like spicy sambal"
Girlswanderlust | Girlswanderlust.com,4 months ago,"The best nasi lemak place in Kuala Lumpur! The coconut rice was very tasteful, the best I had so far. The chicken was very good, the sambal was delicious, and the egg/sardines/peanuts were included. Hygiene was good, it was cheap and local, can really recommend this place!","The best nasi lemak place in Kuala Lumpur! The coconut rice was very tasteful, the best I had so far. The chicken was very good, the sambal was delicious, and the egg/sardines/peanuts were included. Hygiene was good, it was cheap and local, can really recommend this place!"
Khairul Zaman Abdul Wahed,a year ago,"Pertama kali pergi makan 23 Mei 2022. Ok lah rasanya... takda lah special mana pun nasi lemak dia. Biasa je rasa macam nasi lemak tepi jalan tu. Untuk datang balik ok lah untuk jalan2, singgah makan situ.","First time went to eat on May 23, 2022. It's okay, the taste... nothing special about its nasi lemak. It's just an ordinary taste like the nasi lemak by the roadside. For a return visit, it's okay for a stroll and a quick bite there."
MD ZAIDI,a year ago,"Makanan biasa. Tak nampak apa yg special nya. Harga mahal, tak munasabah dengan apa yg diambil, tahuÂ² kena bayar harga sekian. Staff cashier lelaki tak mesra pelanggan....","Ordinary food. Didn't see anything special about it. The price is high, not reasonable for what is taken, suddenly have to pay a certain amount. The male cashier staff is not customer-friendly."
Mat Yem,a year ago,Overrated. Ayam berempah dah keras dan kering. Boleh jadi ayam goreng dah lama. Saya datang untuk berbuka. Attitude staff juga perlu diperbaiki. Customer depan saya tanya takda telur goreng dekat staff perempuan yang jaga kaunter makan. â€¦,"Overrated. The spiced chicken was tough and dry, possibly indicating that the fried chicken had been prepared for a long time. I came for iftar. The attitude of the staff also needs improvement. "
Noorul Amin,a month ago,"I heard about these place , and went first time , very organised , very clean and bright place , only serve nasi lemak from morning till night,  variety dished to choose from,  big space to sit catering many people at one time,  only â€¦","I heard about these place , and went first time , very organised , very clean and bright place , only serve nasi lemak from morning till night,  variety dished to choose from,  big space to sit catering many people at one time,  only â€¦"
Amzar Zamir,4 months ago,"Ada beberapa benda aku boleh puji restoran ni. 1st, staff dia friendly. Aku tak sure sorang lelaki ni sape, tp dia duk berdiri depan kedai layan customer. Cara cakap dia elok je. â€¦","There are a few things I can praise about this restaurant. First, the staff is friendly. I'm not sure who this guy is, but he stands in front of the shop serving customers. His way of speaking is good. ..."
Monika KarliÅ„ska,a year ago,One of the best nasi lemak in the city.Everything very tasty and fresh.Always big queue in entance.Really recommend,One of the best nasi lemak in the city.Everything was very tasty and fresh.Always a big queue at the entrance.Recommend
Hafizah Ibrahim,a year ago,Nasi lemak wanjo ni memang sedap. Nasi die gebu dan terlerai. Servis cepat tak perlu tunggu lama walaupun dine in. Kalau datang kena cuba sambal kerang mmg sedapppp. Kerang nya gemukÂ².,"Nasi Lemak Wanjo is indeed delicious. The rice is fluffy and well-cooked. The service is fast, and you don't have to wait long even when dining in. If you come, you must try the cockles sambal; it's really delicious. The cockles are plump and tasty."
Norhalina Mt,2 months ago,"Fast, clean, yummy! Superb crew! Even though some were moody but a bunch of them were pleasant! I enjoy their nasi lemak and all their dishes!","Fast, clean, yummy! Superb crew! Even though some were moody but a bunch of them were pleasant! I enjoy their nasi lemak and all their dishes!"
Nur Alif Najmi,a year ago,"Fuh nasi lemak wanjo ni tkyh komen apa apa sbb mmg sedap, and lain org lain selera. Bagi aku sendiri mmg sedap tak kisah nak makan situ or bawak balik. Kat bawah ni ada smoothie avocado hmm cuma tekak aku takleh terima benda ni sbb rasa dia lain macam. Haa kalau smoothie epal mmg function ðŸ’¯ â€¦","Wow, as for Nasi Lemak Wanjo, there's no need for any comments because it is truly delicious, and everyone has different tastes. For myself, it's really tasty, whether eating there or taking it away. Below, there's an avocado smoothie, but my palate can't accept it because its taste is different. Oh, if it's an apple smoothie, it's definitely effective!"
Irfan Zaki,a year ago,"Sweet sambal that maybe some people doesn't like it. But their rendang is superb, queue quite long but fast","Sweet sambal that maybe some people doesn't like it. But their rendang is superb, queue quite long but fast"
Mohammad Idrus Simpo,a year ago,This place was amazing for the price you pay. The portion size was good and the service was very fast even for the long queue outside the restaurant.,This place was amazing for the price you pay. The portion size was good and the service was very fast even for the long queue outside the restaurant.
May Z,2 months ago,Came to test the over hyped nasi lemak. Can see decent number of people. Fast service. A lot of fans in the premise. RM1 charge to sit on an air conditioned room. Sadly for me..the food is not hot and thats a deal breaker. The sambal was a â€¦,Came to test the over hyped nasi lemak. Can see decent number of people. Fast service. A lot of fans in the premise. RM1 charge to sit on an air conditioned room. Sadly for me..the food is not hot and thats a deal breaker. The sambal was a â€¦
sitinur karmeela,a year ago,"Ini lauk i and my husband ambik lauk ayam goreng, tempe dan sambal kerang. Dua pinggan ni bersamaan rm31. Sambal sangat sedap. Hope next time, akan datang lagi.","These are the dishes my husband and I chose: fried chicken, tempe, and cockle sambal. These two plates cost RM31. The sambal is very delicious. I hope to come again next time."
Mohd Saad,a year ago,This place is elegant with an awesome vibe. I went for breakfast and the food was amazing. The service was speedy and friendly. Their SAMBAL KERANG are absolutely incredible! This lone visit has made this one of my favorite spots within KL.,This place is elegant with an awesome vibe. I went for breakfast and the food was amazing. The service was speedy and friendly. Their SAMBAL KERANG are absolutely incredible! This lone visit has made this one of my favorite spots within KL.
Steven Kiyoda,a year ago,"First time here, cos coming for Saloma Bridge and drop by here for dinner. The steamed nasi lemak served with delicious sambal and crispy Ikan bilis. Overall, the Nasi Lemak just normal not so special or super delicious. Clean and spaces ambient.","First time here, because coming for Saloma Bridge and drop by here for dinner. The steamed nasi lemak served with delicious sambal and crispy Ikan bilis. Overall, the Nasi Lemak just normal not so special or super delicious. Clean and spaces ambient."
Ahmad Ehsan,8 months ago,"Nasi tambah, sambal lebih, penting! Hahaha. Mmg sedapp. Tapi beratur panjang. Kat luar ada ice blended sedap. Parking susah.","Refill the rice, extra sambal, crucial! Hahaha. It's really delicious. But the queue is long. Outside, there's tasty ice blended. Parking is difficult."
Khairiena,a year ago,Datang untuk sahur. Sampai kedai dalam kul 3 lebih. Queue boleh tahan lah. Tapi service laju especially bahagian dine-in. â€¦,"Came for sahur. Arrived at the shop around 3 plus. The queue was manageable. But the service was fast, especially for the dine-in section."
Azim Hulaimi,a year ago,"A pretty good place to have nasi lemak. They have variety of lauk that you can choose like ayam goreng, telur mata, sotong, kerang, ayam masak merah, many more. The sambal is tasty enough. Not too spicy for me. And they're very generous â€¦","A pretty good place to have nasi lemak. They have variety of dishes that you can choose like ayam goreng, telur mata, sotong, kerang, ayam masak merah, many more. The sambal is tasty enough. Not too spicy for me. And they're very generous â€¦"
Muhammad Hafizan,4 years ago,This  is one of The Best Nasi Lemak in KL . They set a standard price for thier food. I really love nasi lemak with rendang daging it's soo good but sometime i notice thier sambal becoming too sweet to eat during night. I think night shift guy not doing good job.,This  is one of The Best Nasi Lemak in KL . They set a standard price for thier food. I really love nasi lemak with rendang daging it's soo good but sometime i notice thier sambal becoming too sweet to eat during night. I think night shift guy not doing good job.
Adam Adge,a year ago,"Utter disappointment, more hype than the real thing, i don't mind the fairly high price, but the quality is below par for a place with such reputation. Will not recommend if you're looking for signature nasi lemak spot as there are many more place that are better.","Utter disappointment, more hype than the real thing, i don't mind the fairly high price, but the quality is below par for a place with such reputation. Will not recommend if you're looking for signature nasi lemak spot as there are many more place that are better."
Munzir,a year ago,"Nasi, ayam dia sedap. Bagi saya sambal dia agak kurang sikit sebab manis. Mungkin sebab supaya semua boleh makan. Tempat memang best. Bersih dan teratur","The rice, the chicken is delicious.For me, he was a bit less than sweet.Maybe the reason is so that everyone can eat.The place is the best.Clean and orderly"
Man A.R.I.Eâ„¢,a year ago,Tahap kebersihan kedai mmg A la cuma parking susah sikit kat sini dan harga pun boleh tahan juga bagi sepinggan nasi lemak biasa RM5,"The cleanliness level of the shop is top-notch. Just a bit challenging to find parking here, and the price is also reasonable, with a regular plate of nasi lemak costing RM5."
hairi muhammad,7 months ago,Perfect ..ikan bilis dengan telur mata dia je pun dah sedap..sotong kembang dengan paru goreng superb...harga tak terlalu mahal..servis laju..joki ambik lauk ramai tak macam kat kedai nasi kandar..kedai bapak besar...kedai bersih..toilet bersih...surau pun ada..masalah parking je lah....,"Perfect... the anchovies with sunny-side-up egg alone are delicious. The bloated squid with fried lungs is superb. The price is not too expensive, and the service is fast. There are many food attendants, unlike at nasi kandar shops. The shop is quite spacious and clean, with clean toilets, and there's even a prayer room. The only problem is parking."
Alan Donegan,6 months ago,Super tasty and so well priced. Traditional Malaysian food and delicious,Super tasty and so well priced. Traditional Malaysian food and delicious
king kraal,a year ago,Rice too little u need to add. Bergedil was good. And mango juice excellent. A bit pricey around rm12 to 15 per person,"The portion of rice is insufficient; you might want to consider adding more. The bergedil was good, and the mango juice was excellent. The pricing is a bit high, around RM12 to RM15 per person."
Addie B,a year ago,"Ok drop by for quick brunch...more than 2 years since the last stop here. As usual parking is the main nightmare. Place has been renovated larger space...better flow n ample seatings. Food still good especially the ayam berempah. The only ""complaint"" its a bit more pricey now.","Okay, dropped by for a quick brunch... It's been more than 2 years since my last visit. As usual, parking is the main challenge. The place has been renovated, providing a larger space with better flow and ample seating. The food is still good, especially the ayam berempah. The only ""complaint"" is that it's a bit more pricey now."
Faez Fadzel,a year ago,"We arrived here on Friday night and it was packed. We are very lucky to get a parking spot in front of the place, it was RM5 for three hours. The traffic at the time was packed with cars so walking is not an unavoidable option. â€¦","We arrived here on Friday night and it was packed. We are very lucky to get a parking spot in front of the place, it was RM5 for three hours. The traffic at the time was packed with cars so walking is not an unavoidable option. â€¦"
Athirah Dahlan,a year ago,"Tempat lapang, selesa dan bersih. Ada dua lane, satu untuk dine in dan satu lagi untuk bungkus. Beratur juga x lama. Rasa masih sedap walaupun separuh lauk agak oily. Paru goreng recommended. Surau juga disediakan.","A spacious, comfortable, and clean place. There are two lanes, one for dine-in and another for takeout. The queue is not too long. The taste is still delicious, although some of the dishes are a bit oily. The fried lung (paru goreng) is recommended. A surau is also provided."
Saifudin Bahrudin,2 years ago,Dah upgrade. Toilet ðŸš½ sngt bersih. Surau pon ada. Nasi lemak sedap pelbagai lauk. I like lauk limpa. Cuma parking situ limited. Parking berbayar ada kt depan kedai. Overall good dining experience. Nak tapau pastikan sambal lauk asing2 â€¦,"Already upgraded. The toilet is very clean, and there's a surau. The nasi lemak is delicious with various side dishes. I like the side dish of liver (lauk limpa). However, parking is limited. Paid parking is available in front of the shop. Overall, it's a good dining experience. If you're taking away, make sure to separate the sambal for each side dish."
azwa muzzamir Taarif,11 months ago,"I think the food okay boleh la especially the sambal kerang because they used fresh clam instead of frozen one. Must use grab to go here because its to difficult to find parking space during peak hour especially on lunch and dinner time, come early and park in front of the restaurant.","I think the food okay boleh la especially the sambal kerang because they used fresh clam instead of frozen one. Must use grab to go here because its to difficult to find parking space during peak hour especially on lunch and dinner time, come early and park in front of the restaurant."
Shukri Osman,a month ago,It's worth the trip if you're in KL. The food is amazing and mega cheap. There is delicious smoothies right outside and plenty of dessert places nearby too!,It's worth the trip if you're in KL. The food is amazing and mega cheap. There is delicious smoothies right outside and plenty of dessert places nearby too!
lw an,9 months ago,Good flavors. Fried chicken is quite dry. Rendang beef is quite tough and not falling apart.,Good flavors. Fried chicken is quite dry. Rendang beef is quite tough and not falling apart.
Patrick Ooi,a year ago,Decent food and flavours. Beef was tough but the taste was good. Overall nice place for lunch.  Clean toilets too,Decent food and flavours. Beef was tough but the taste was good. Overall nice place for lunch.  Clean toilets too
Nadhirah Jalil,a year ago,"Idk, but for those of you who said this nasi lemak is the best,  i guess you guys havenâ€™t tasted the real best nasi lemak. â€¦","I don�t know, but for those of you who said this nasi lemak is the best,  i guess you guys haven't tasted the real best nasi lemak. â€¦"
fahmi,a year ago,"robust, tasty, efficient, fast, civilized, clean, spaciousthe food is good, the price is reasonable here with the taste, you get checked for vaccinations, there are two counters for dine in and take out","Robust, tasty, efficient, fast, civilized, and clean. The food is good, and the prices are reasonable given the taste. There is a vaccination check, and there are two counters for both dine-in and take-out services."
