Reviewer,Date,Review
Hazree Hafiz Mohd Hanapi,7 months ago,rasa sedap tapi hrga agak keras.. kedai selesa... manggo smooties recommended...ðŸ‘ðŸ‘ â€¦
Zhr,9 months ago,Not the best nasi lemak but still good option to dine in
Mike Oliphant,4 years ago,"Had a great nasi lemak breakfast here. Nice coconut flavour to the rice, and the beef rendang and chicken were very good."
David â€œThe Explorerâ€ Hogan Jr,5 years ago,"Honestly, Wanjo has upped their game, and is now one of the best nasi lemak in Kampung Bharu, KL. I did a side-by-side comparison with Nasi Lemak Antarabangsa, and my conclusion is that Nasi Lemak Wanjo beats them on many levels. â€¦"
Razali Abdul Malik,2 months ago,Lauk sedap tapi harga mahal. Telor mata goreng 1 RM 1:30 & telor rebus sebiji 1:30.
Mohd Izzuddin Ishak,4 months ago,No comment needed. One of the best SAMBAL NASI LEMAK selain restoran Lontong Klang dan Family Kopitiam di Klang. Both kedai di Klang ni ada sediakan nasi lemak since 1970s.
Jessie Lee,5 years ago,"Nasi, ikan bilis,  sambal sedap ðŸ˜‹ sotong,  kerang okay,  ayam masak merah so so only.  Should order ayam rempah as many people order. Teh tarik good. â€¦"
ATAT1120,5 months ago,Good nasi lemak. Rendang daging best. Do note that they're closed for at least an hour on Friday at 1 pm for praying. Can park at the opposite parking but RM5 for max 3hours.
serena wiranta,a month ago,"The location is very close to LRT station.The nasi lemak is very delicious, the ikan bilis is crispy and they gave you very generous of sambal.  There was a queue not very long but they served very fast so you don't have to wait very long.  The atmosphere was very good as along the alley you can find lots of foods.Vegetarian options: You can have the nasi lemak and egg only and have juice or smoothies."
Serena â€œLisa Câ€ Lisa,4 years ago,"Hmmm honestly had tastier nasi lemak. The sambal is abit sweet instead of spicy. Anchovies & fried chicken salty i must say. Sambal kerang abit disappoitment (i cant taste it,literally). Chicken rendang not so flavourful. Probably this is our 1st and last time coming here. Btw they were friendly towards foreigner ðŸ˜ â€¦"
Syaz Yukki,a year ago,Terbaikkk...great and popular nasi lemak...it also near to popular Saloma Bridge that near to KLCC
Gerald Lau,4 years ago,"Fragrant coconut rice, sweet but not too spicy sambal. The sotong (squid) and kerang (cockles) sambal was good. â€¦"
Razlan Samsudin,3 months ago,Great nasi lemak place! Delicious with various side dishes to choose from. Affordable priced and ample seating.
Thew Guat Hoon,3 years ago,"Best nasi Lemak, ling queuing with people, not matter Chinese, Malay or Indian. Sometimes tourists from different places. Is good to visit if you not so hungry."
tiramisu Mohd Zain,2 months ago,Makanan nya biasa2 sahaja utk saya. Tapi restoran bersih dan selesa. Servis juga cepat
W,4 months ago,"Nasi lemak was very good to me, flavors were good. Best one Iâ€™ve had yet. Tried the squid which was also good."
Ahsan B,5 months ago,"Long que but the service is fast, rendang ayam agak masin sedikit perbanding ayam masak merah... mungkin hari ni tukang masaknya terlebih letak garam..."
Jeremy Ng,6 months ago,Ordered 2 nasi lemak with 4x different types of sambal chicken along with deep fried chicken. All tastes different with unique flavourful taste. Large indoor open space dining area; serving sizes very generous value for money. Overall the food is great and a must try! Preferably dine in when the rice is nice and steaming hot.
anuar abdullah,4 months ago,"Tak berapa sedap la sangat. Boleh le makan. Panas sikit & stuffy. Servis hambar, staff pun muka ketat. Makanan masin"
Hasnol Firdaus,3 months ago,"Nasi sedap ada aroma wangi santan berlemak, sambal sedap tambah lak sambal kerang dan bergerdil...mantap padu"
Zamreestone,4 months ago,Gud foods.. will come when ever feel hunger for gud n tasty nasi lemaks
Muhammad M.T.,5 years ago,Love their sweety hot sambal. Perfect with fluffy rice & crunchy anchovies. Their paru berempah shouldn't be missed. It's full of flavor & crunchy!
plasticman2k,5 years ago,"Perfect Nasi Lemak right here! Sambal was spicy and slightly sweet, perfect for Singaporeans who are used to sweeter sambal. Rice was nice and fluffy and they were generous with the sambal sotong. Amazing place, will definitely be back again."
Abdul Hafiz Mohamed Salleh,a year ago,The best of the best Nasi Lemak in KL! Nasi yang sangat berlemak dikukus ditambah dengan sambal manis gitu. Ayam rendang tidak mengecewakan!! Antara paling sedap di KL!
Muhammad Nasiruddin,a year ago,"services pantas, sambal dia sedap ngam tak berapa pedas tak berapa manis, lauk pelbagai, pekerja ramai awek, rate harga rm13 gituu"
Hamiza Ali,3 years ago,"This eatery is very popular among locals, rarely seeing the quiet atmosphere of the customerâ€™s presence especially at breakfast and dinner ðŸ˜½ As in most other â€˜nasi lemakâ€™ restaurant, Nasi Lemak Wanjo is served with anchovies, boiled eggs, â€¦"
Faa Akmal,a year ago,Good place to have nasi lemak. A lot of people but fast service. Reasonable price ðŸ‘ðŸ» â€¦
Nurul Aina,8 months ago,i pergi wanjo banyak kali tapi harini baru terasa nak review. Makanan sedap dan harga pun berbaloi. Tapi sebabkan staff semua tak friendly and cashier perempuan pendek sangat kurang ajar jadinya this is will be my last time makan sana. â€¦
Khai Halim,2 months ago,Nasi lemak dia biasa je takde apa yang special datang sebab viral je
asleeza ramli,a month ago,"Rendang is definitely a to-die-for.  The fruit juices too... Although there was a long queue, the services were quite fast."
Mahendran vijayakumar,11 months ago,Taste was good.. price was reasonable.... Bit hot to sit in open area but aircond room also available for RM1 per head.
Shahriz Ismail Ashari,3 years ago,"Parking sucks, roads are narrow and there are too many people walking in the middle of the road, but Wanjo's nasi lemak makes up for it! It's definitely better than Nasi lemak antarabangsa."
Black Phanther,5 months ago,"Makanannya dlm kadar sederhana . Tapi terlalu mahal . Dh mcm mkn dkt hotel . Tapi layanan terbaik , suasana pun tetbaik ."
Halida Budining,7 months ago,It was crazy queueing on the weekend. But they served pretty fast. The price was cheap & delicious. The place also clean.
Nur Akma,a year ago,"Quite affordable price for kampung baru area. Very good service like Ikea, separate lane for take away & dine in"
Nurul Shazlieyana Sharizan,2 years ago,Nasi lemak sedap dan affordable ðŸ˜‹ nasi lemak telur mata RM4. Sambal a bit manis (sebab suka pedas) ðŸ˜‚ SOP terjaga. Persekitaran bersih â€¦
Fadzli Alias,a month ago,Nasi lomak yang digabungkan dengan sambal  yang sodap. Ayam godang.
Eyma Othman,11 months ago,Tempat yang selesa.. space luas dan nasi lemak yang sedap..
Ahmad Fadzel,a year ago,Ok laa. Mahal sikit dari biasa. ada macam2 lauk boleh letak. dekat situ ada jual smoothie sekali. Lepas raya haji nasi lemak naik harga.
Fahmi Mat,a year ago,First time try makan sini..nasik sedap berlemak..sambal pun ok..test amek lauk ayam goreng dengan sambal kerang..ayam mantap..tapi sambal kerang kureng sikit..sambal dia tu mcm terlebih masam sikit..
Chris C.H,a year ago,"For 16 MYR, I got one curry chicken and one spices deep fried chicken along with the standard nasi lemak plate. Lots of tables available. If you want the Aircon room, pay 1 MYR."
Zol M,3 years ago,"The best and legendary nasi lemak in KL. The taste is authentic Kampung Baru nasi lemak since the 70â€™s. It offers an extensive choice of dishes which includes fried chicken, beef and chicken rendang, paru berlada, etc etc. Too many to â€¦"
Khairul Anwar Kamaruddin,3 weeks ago,Not the best nasi lemak but good enough. Plus point is that there are many lauk to choose from
Shah Zain,6 months ago,"Lauknya banyak, nasi nya rasa lemak. Kuah agak manis. Boleh kata tak pedas. Datang lunch tak sesuai duduk luar, panas dan berbahang. kena masuk dalam bilik ada aircond, tapi kena caj RM1.00 sekepala."
Pervein Savunthara Rajan,a month ago,Overrated. Half the people in the review section needs to get their taste buds checked. The only good thing I paid for was the mango shake.
Asyraf Azmi,a year ago,Antara nasi lemak tervaik di Kampung Baru. Tempat makan yang selesa.
mustafa said,2 years ago,"This ever popular nasi lemak at kg Baru, K.Lumpur is more that half a century old  selling only nasi lemak. The main menu is fried chicken and bioled egg with fried ikan bilis. Also serve is Sotong, rendang daging , paruand fried eggs. â€¦"
Nasaruddin Faiz,6 months ago,"Ramai orang, sahur awal agaknya. Disebabkan ramai, jadi kena beratur. Sesak tapi masih boleh jalan. Biar lambat asalkan selamat, better late than never. â€¦"
Eujing YewJing,4 months ago,Inside quite hot but the nasi lemak quite delicious
Ros Zukni,4 years ago,"Finally tried this famous nasi lemak place. Love the rice, has that pulut texture and taste. I only add on paru which was also good. Wasn't rubbery. Sambal wise, I prefer mine spicy. Theirs is more of the sweet sambal. Nasi lemak price starts from RM4."
sanchita chowdhury,a month ago,"Food tastes really good, and if you don't understand the dishes, they will help to have your food"
Noraziah Othman,a year ago,Nasi lemak pelbagai pilihan lauk . Cuma nasi sikit sangat. Kena tukar mangkuk nasi sukat yg besar sikit atau padatkan. Lauk ada nasi x cukup
rozita haris,6 months ago,Lots of customers especially weekend. Fast service order at cashier. Good food n drinks. Love rendang ayam. Mango shake n chocolate avocado very nice. Lots of mango pieces. We went into air-conditioning area with charge RM1 per person below 10 years old. Outside parking RM5 for 3 hours.
Rusydi Syafiq,2 years ago,"Musim PKP ni kalau tak silap last beratur pukul 9.30PM kalau nak dine in. Kena pergi awal sebab beratur que panjang. Tapi makanan semua sedap, berbaloi beratur!"
Subendra Thiruchelvam,a year ago,"7/2022 - Still one of the best nasi lemak in Klang Valley. Recently renovated with 3 lots. Clean, bright & airy. There is even an AC room however RM1 per pax charge. Tonight we enjoyed our nasi lemak with their paru, rendang daging, begedil â€¦"
Amir Hamzah,a month ago,"Love it there, love their nasi lemak, and their drinks forgot the name but really good"
ordinary2awesome,a year ago,Tak ramai hari ni. Bertuah sedap dan memuaskan. Nasi lemak terbaik di Klang Valley
farrah hawa,a year ago,Nasi sedap.sambal not really my taste sebb manis sgt.harga boleh tahan..yg bubuh lauk tu kemain kerek.pelanggan dtg bawak rezeki kak..ðŸ¤£ðŸ¤£ðŸ¤£ â€¦
Takahiko Murakami,6 months ago,Very nice Nasi lemak restaurant
Danieal Hakim Mohd Nizam (Danie Al-Haqim),3 months ago,"The food is good and I love it. But for a student on a budget I don't recommend this place. But if just wanna try ""sekali-sekala"" why not right."
Mukhlis Hasan,3 years ago,nasi lemak yang sangatÂ² biasa.tiada yg luarbiasa..sambal manis.sesuai dengan tekak budakÂ².jujur aku cakap nasik lemak mekdi lg best.
Aida Ruslan,7 months ago,"The nasi lemak is so delicious we even have another extra 2 plates of nasi only ðŸ˜‚ worth every penny! Although the staff seem unfriendly, but we understood, maybe because they are tired? But their services are tiptop, fast service! Food and drinks are delicious. â€¦"
adam sematu,4 months ago,Secara keseluruhannya berpuas hati... Kedai bersih... Staff male mostly ok... Cuma staff female je kerek skit... Layan costumer ala kadar... X mahal pun beradap pada costumer...
Teey AR,7 months ago,Tried for the 1st time and not sure what's the hype about. Rice and sambal was pretty standard except that you have more dishes to choose. Queue was long but was cleared fast. Staff were efficient and the restaurant was bright and very clean. Kudos to the management ðŸ‘ â€¦
Fatin Fitri Khan,3 years ago,Nasi lemak tengah bandar woiii.. ðŸ˜‚WAJIB! Wajib! Wajib! Cuba..Dekat banyak juga pilihan kedai lain yang bleh try juga
syazli sabri,a year ago,"I now understand why this nasi lemak place is so famous. The fragrant rice and the sweet sambal hit a lot of people sweet spot. Should have ask for extra rice, i could eat their nasi lemak forever. Definitely worth going if you ever come to KL"
masrura,3 months ago,Huge portion. Rice is fluffy. Sambal is on the sweeter side. Fried chicken is well fried. And the sambal kerang is perfect. Love it!
Badrina munira,4 months ago,"Staff sangat2 friendly, service lajuu. Cuma sebagai someone yg suka pedas, tak recommend untuk people yg craving pedas ðŸ˜­ â€¦"
Helmi Mohamad,3 months ago,Great place to have Nasi Lemak in KL. The rice is fluffy and suite my taste....The Sambal is nice
Rose Raslan,7 months ago,"I went out to eat at a busy time. At 9 p.m. at night. The table was full at the time, the plates were placed, and the waiter asked me to sit at a small table. There is no table, so turn around and look back to the same table. A waiter opens â€¦"
Khairul. Annuar,a month ago,Nasi rase ok. Sambal agak manis. Overall rase biasa bg tekak aku.
Axel Drechsler,3 years ago,"Awesome Malay food, Nasi Lemak and Beef Rentang. Nice service and very affordable prices. For the total experience, just eat with your bare hands."
Tinah Pit,2 weeks ago,Delicious nasi lemak in kl. Fast service. Spacious and comfortable
azzim94,a year ago,Lovely nasi lemak. There are two queues there. One for dine in and another for takeaway. Be sure to be in the right lane
Cassandra Jacklya,7 months ago,"First things first, the sambal is the highlight of the entire dish! I love it so much! Plus, it is so worth it. You can even get a dish for about RM5. The usual dish is RM10.60 including a chicken. But if you get other side dishes such as tempe, there will be extra charges. Overall, I love it! Recommended"
Jack K,5 years ago,"Nice, fairly priced. Sambal is just nice, not so spicy, with a little touch of sweetness. Is it something that you will go back again? Maybe. But in overall, it sits among the average Nasi Lemak in town."
M.R Sham (Zychon),a year ago,Antara nasi lemak yang sedap di Kampung Baru..tempat bersih dan selesa.Parking berbayar dihadapan kedai.
shah putel,a year ago,Very fast service even during peak hours. The best nasi lemak in KL. Clean restaurant and simple and bright decoration. â€¦
Freddie Lee,a month ago,Very pricy not friendly..Its crazy to charge each customer  RM 1 perhead to sit inside aircond room.will never go back again
Haikal Nashriq Ramli,6 months ago,"Makanan sedapðŸ¤©, tempat paling sedap utk nasi lemak dekat kg baru, barisan utk mengambil makanan agak panjang namun tetap puas hati utk nasi lemak dekat sini. Tetapi staf yang menghidangkan makanan dalam pinggan agak biadap, layan customer â€¦"
Jules Ung,6 months ago,"Omg, this place is soooo good!! The best nasi lemak I've had! And the service is fantastic!! I took my parents here who are hard to impress and even they gave it a thumbs up!!"
Lea Marini,8 months ago,"Suka potongan timun dan ikan bilis. Nasi itself pon sedap. Cuma masalah dia adalah sambal manis. Memang ada setengah orang prefer sambal manis, kadang-kadang saya pon suka. Tapi sila saya haritu, saya minta sotong dan kerang sekalikan di â€¦"
Miguel Rochefort,4 years ago,Finally a nasi lemak with santan (coconut milk)! All the other ones I tried before tasted just like regular white rice. â€¦
Amirul Anas,3 years ago,"Nasi lemak punch-packed with their ""paru"" dishes. Less smiley worker on that day...But 5 stars because why not???"
Ahmad Faris Hakim,11 months ago,The sambal tasted unique! And very delicious! The price is standard for food around KL. Worth the try
Sayeed Chaudhury,a year ago,"In the heart of Kuala Lumpur old city in a village setting. Curries, nasi lemak, meats, poultry, etc. Wide variety, reasonable price. A busy eatery."
Rosen Irwan,2 months ago,"Overrated considering the hype, not worth standing in the long line"
MOHD SABRI,a month ago,"The best. Just the sincere nasi lemak. Rendang ayam the best, not too extreme.."
Noor Faezah,4 months ago,x de la sdp mn .nasi makin sikit aku tgok..ayam ok la besa juga..harga keras bole tahan..
maria ismail,9 months ago,Alhamdulillah...menepati selera seluruh lapisan masyarakat dan pelbagai bangsa..ðŸ‘ðŸ½ â€¦
Nadiah Adzemin,4 years ago,"The nasi taste great, you can taste the coconut milk. The sambal is a bit on the sweet side, but still good. Recommended! Would come again if I'm in the area"
Azrena Mohd Noor,8 months ago,"In terms of overall taste, it's OK. The fried chicken and rendang are nice. The rice, needs a tad more coconut milk. The taste of the rice is more towards plain rice rather than nasi lemak. Personally, I like my nasi lemak to be softer - â€¦"
Nor Hafizah Abd Latiff,9 months ago,makanan sedap...sambal tak terlalu pedas..kedai bersih..servis pun cepat...
Nurul Fariha,a month ago,"Crowded place and long queue, the price of basic nasi lemak is too pricey for me ðŸ¤” â€¦"
Nurisah Saad,a month ago,"Staf biadap, staf layan customer macam sampah.. sampai tak sempat nak pilih lauk"
Blaise Wong,3 years ago,You can tell how popular this place is with the amount of locals lining up. I had the nasi lemak with chicken rendang. Glad I made the trek across the city to enjoy this iconic dish here! The format is like being at a cafeteria and the â€¦
Bojan Krtolica,7 months ago,"Very efficient and delicious Nasi Lemak. Full five stars in this respect. The only thing Iâ€™d note is that if you go on a hot, sunny day, youâ€™ll realize that itâ€™s hotter inside the restaurant than outside."
Siong Hee Leong,2 years ago,"The rice is fragrant and fluffy. The standard sambal is not spicy and on the sweet side. Prefer a spicier and less sweet sambal. The ayam masak merah, sambal sotong, and begedil were quite good. Parking is a major problem around this area. There are private car parks around and they charge RM5 per entry (for 3 hours)."
Mohamed Firdaus,9 months ago,"One of my favourite Nasi Lemak place. Even when they started years ago before the renovation. The sambal is a bit sweet, but it's really subjective. I am not saying it's the best in the world, but it is one of the best in KL. A bit pricey than roadside stall, but it's alright. They have variety of additional dishes as well."
Lokman Abdul Rahman,4 years ago,"Nasi lemak kat sini sama macam nasi lemak lain kat kampung baru, cuma persekitaran kedai agak selesa berbanding tempat lain, banyak tempat duduk dan proses amik makanan pun pantas."
Azrin Firdaus Osman,3 months ago,Very nice rice (just the right flavour). Long queue that is manageable (fast turnaround) just main issue is with parking
Aisyah Rahim,2 years ago,"The place has been renovated, bigger and more comfortable and more seats. Variety of choices, my personal favorite is rendang ayam. The price is okay, not too expensive."
YassinZamri Abu,a month ago,"To me... that's nasi lemak overall is bise..bise.. I don't know you're opinion. To me , moderate. From my opinion"
melkhy wong,a year ago,The best nasi lemak in town. Very good! The place very hygienic.
Jas AJ,4 years ago,"Nasi lemak taste good and the sambal also nice, good service and clean place but the portion of nasi quite small and you need to get an extra rice, quite pricey"
Mimie Omar,8 months ago,Sedap.. air nescafe dia sedap.. tapi agak mahal berbanding kedai lain...
Muhamad Hafiz Kasim,9 months ago,"Boleh la nak makan nasi lemak. Rasa biasa, harga agak mahal tapi still standard KL, nasi lemak telur rebus RM5. Tapi yg terbaik Avocado Smoothies. ðŸ¥‘ dan air Smoothies yg lain. Dtg nak cari tu je. â€¦"
Lala Lola,10 months ago,"Datang weekend sabtu, 13/11/22 jam 8:30am. Park sedikit susah. Beratur panjang tapi servis cepat. Ada 2 lane. 1 untuk dine in. Belah kanan untuk take away. Beratur pilih makanan terus bayar. â€¦"
Mohd Adib,3 years ago,The staff are very helpful and serve very fast. The food and drinks is completely tasty ðŸ‘ŒðŸ¼ â€¦
Fazli Mustafa,a year ago,One of the best Nasi Lemak good price and fast service too
Killer Tank,2 years ago,Not the best but Harga berpatutan......Nasi Lemak + Sotong + Ayam M Merah + Kopi Ice = RM14 only â¤ï¸ for me the price is very reasonable and affordable. no peanuts ðŸ˜† ðŸ¥œ â€¦
Gombau Most Wanted,3 months ago,"OK lah buleh tahan, den memang lamo tak masuk Makan area sini pasal parking payahhhh"
Mohamed Hafiz Zahaludin,3 years ago,Nasi lemak so so. Banyak lg yg sedap d luar sana. Lucky enough becoz its located in Kg Baru hot spot area. And it is soooooo over price. 3 pinggan nasi lemak. 1 limpa 1 limpa + telur goreng + 1 kerang + 2 drinks cost RM28.
Lyd Violet,a year ago,Maybe I'm not an avid nasi lemak lover so to me it taste the same as the normal nasi lemak..Not bad but not exceptional tasty too
Su Kim,a year ago,"Ayam masak Merah memang best.better than the fried chicken.sambal has that ""hangus"" smokey taste, tad on the sweet side. But overall, was good."
emma abas,3 years ago,"variety of lauk for nasi lemak at affordable price. the sambal is slight at sweet note to me and rice very grainy, overall a descent. nasi lemak place."
Faisal Ahmad,a month ago,"Bapok segala sedakk! Nasi iye, sambal iye, lauk2 iye, ambient iye. Tolonglah mari dtg mkn Wanjo ni."
SH,2 weeks ago,"No idea why this place is so popular. Got chicken rendang and curry, driest chicken I've ever eaten in my life..."
Jake Zamier (Am Zamier),a year ago,"Bratuq panjang ceq.. But very systematic, bapak shuka.... Rasa die... Terpulang kt tekak hang pa.. Bpak rasa okay saja.. Tempat aircond bayaq singgit"
Mohd Fauzi,a month ago,Nasi lemak yang sedap harga berpatutan dan kedai yang bersih
Naqib Mustaffa,4 years ago,"Everytime I crave for nasi lemak, this is the go to place. Delicious nasi lemak. Sambal is sweet so for the spicy lovers you might not prefer it."
Faizal Abu Talib,a month ago,Tak sedap. Ayam goreng sejuk dan keras macam batu.
izi mizy,7 months ago,Have been going to this place for the past 40 years. Saw the improvement thru the years. From just eating under the mango tree until as it is now.  The sambal is the signiture of this place. Now the choice is more. Always enjoy the nasi lemak. But parking quite a hassle.
Liyana Ab Aziz,2 years ago,"Quite a que. Nasi is tasty, cam taste the 'lemak' sambal not spicy at all. Kerang and daging recommended. I wish paru were not sold out. â€¦"
Nanda Hoppus,9 months ago,Nex Carlos recommendation. Food taste good. Various options. Long q but fast service.
Muhamed Fawas,2 months ago,It is totally worth the hype. Well maintained and clean. Food is great and service is good. Would recommend it.
Tiara Samsara,8 months ago,"This restaurant is overrated!!! The sambal is too sweet, coconut rice is not fragrant, the beef rendang is dry and tough and no peanuts. Not sure what the hype is about! Sorry to say, but itâ€™s not worth eating. The two ladies that served â€¦"
Mohd Ezzad Bin Niazman,3 weeks ago,Nasi SGT SEDIKIT. Xkena dgn harga. Rasa oklah. Cuma NOT WORTH IT
Aqil Rayyan,a month ago,Sedap tapi nasi lemak sikit. Lepas tu harga mahal sikit
Deni Hamzah,3 months ago,"Short ques, affordable, tasty and fast service....there are more restaurants available nearby...try them...best to stay nearby thus can come back frequently"
ISKANDAR ZULKARNAIN ARIFFIN,a year ago,"mmg terbaik nasi lemak dia.. lauk dia mmg kena dengan lidah pantai timur.. x rasa pedas.. masakan dia ke arah manis.. fasiliti yg baik,, disediakan tandas dan surau.."
Epal Haryadi,10 months ago,"Menurut saya nasi lemak wanjo ini dia punya rasa tersendri, rasa dia tak pasaran dia punya rasa khas terutama dari wangi nasi dia. â€¦"
Lucas Loh,5 months ago,Place is nice and clean. Food is okay. But the sambal is not hot/spicy just sweetness.
Alia AlZawawi,4 months ago,Was disappointed. The food wasnt bad but theres a lot other places with better nasi lemak.
Rosniza Ismail,9 months ago,"Nasi lemak ok ok je rasanya. Orang memang tak putus putus datang, start kami duduk makan sampai la habis, dekat kaunter yang serve makanan tu sentiasa ada orang beratur. Tapi meja akan ada je kosong, sebab pekerja sangat efficient, asal â€¦"
Nasreen Zulimi,2 weeks ago,"Sirap ais ada, milo panas ada, milo ais takda. I dunno man... ripoffs."
Nurul Ashwaniey,6 months ago,tempat bersih. pekeje cekap. asal nampak smpah je die sapu. tapi isunya. nasi sikit sangat. . lauk sedap dah. sikit nau. dua kali suap habis. urmmmm. dduk tmpat aircond pon caj. nasi kasi lebih laa sikit kan.
Ainun Nadhirah Afandi,a year ago,Setanding hype yg digembar gemburkan ~ sedap dan tempat selesa ðŸ‘ðŸ¼ rasa setanding harga âœ¨ â€¦
Nevena VasiljeviÄ‡,7 months ago,Great nasi lemak and a fantastic local experience. Recommended!
Amirul Azim Bin Halim,3 weeks ago,Ok place la. Food not so bad. But there are much better place.
Ahmed AL Fadhli,a month ago,"Can't fault anything, food was delicious, place was clean, atmosphere was decent. Top notch!"
tuan kamal tuan abdullah,7 months ago,"Teh tarik out of 6/10 rate . Nasi lemak  6/10, daging rendang a bit sweet 6/10, ayam goreng 6/10, sambal 5/10, kerang 6/10, overall 6.5/10 ... Owner need to do survey and upgrade quality of food as price a bit high.. 4/10.tq Hope will improve"
aqilah amijar,4 months ago,Sedap. Semua sedap boleh la sambal dia manis pedas. Cuma portion agak kecil.
Michael Zamecnik,a year ago,"Excellent nasi lemak with beef rendang, tempeh and egg. I know Iâ€™ll be back sometime!"
Don Moghost,3 years ago,Pass by this high rating nasi lemak spot. The place is clean and staffs are friendly and helpful. Sambal is the soul of the nasi lemak. And they have good soul over here :p taste is good and most importantly the price is reasonable! Price â€¦
Ruhaizan Yahya,8 months ago,Makanan mmg sedap tapi ayam goreng selalu habis. Dah datang beberapa kali sebelum ini dan selalunya ayam goreng habis. Terpaksa ambil lauk lain. Sepatutnya penyedia makanan di kaunter mengingatkan staff didapur utk memasak sekiranya ayam goreng di kaunter hampir habis. Terima kasih.
D Sirat,2 weeks ago,Makanan x sedap langsungðŸ¤® kedai elok je cantik kalau nak melepak â€¦
lambang duris,2 months ago,Seronok jalan kaki melalui jembatan saloma.
Fariza Hanis (PM Dr.) Abdul Razak,10 months ago,Second time eating their nasi lemak. They have improved their payment methods.
samish issac,2 years ago,"1st time makan. Ada pelbagai lauk pauk. Sambal tak pedas, sesuai utk budak dan yg tak makan pedas. Since I like hot and spicy foods, I give 4 starts, kalau pedas, gerenti dapat 5 starts form me. As usual, difficult to find the parking if u want to dine in."
Haziq Radzi,10 months ago,"I have come to this place a few times already. Before and after renovation. Tbh, it was an okay restaurant. Not that great, but not that bad either. The taste of the Nasi Lemak with Ayam Goreng and Bergedil is quite delicious, but I have â€¦"
SyAhRiL BoB Dx-,a year ago,Not bad laa.. Parking kg baru hmmm mcm tu jugak laaa..
patrick rundle,3 months ago,Great food! Best to let the staff recommend you a selection. Quick and easy to eat.
eymn shrl,3 months ago,Good nasi lemak place. Period. Go at night especially when it's raining. Less people hahah
aini karim,6 months ago,"Had breakfast this morning. Disappointment, sambal abit on the sweet side. Sambal kerang rubbery & sweet as well. Those with big small children pls seat indoor - aircon room. Yes you have to pay $1 per head but the heat outdoor with zinc roof is hot. Despite having lots of fans, it just circulating the heat."
Azam Levine,a year ago,Sememangnya terbaik.. Service tersangat pantas.. Sangat sedap.. Memang mahal tapi kedai ni is better than nasi lemak antarabangsa.. Highly recommended
Hazura Hassan,7 months ago,Tengok pinggan boleh tahun sedap ke tak..ðŸ¤£ðŸ¤£ â€¦
Nfa kÄ±lÄ±Ã§,a year ago,Mango smoothie is nice but the price for nasi lemak too pricey..just for first trying and lastðŸ˜†ðŸ¤£ â€¦
Abd Manaf Ali (Dr. Manaf),a year ago,Easily one of the best Nasi Lemak joint in KL. Opens at 6am and closes at 12am.
Rita dong,3 months ago,"Local people brought to eat coconut rice, a little spicy, all meat, you can try the local taste"
Kun Tek Ng,2 years ago,Food variety not much but the restaurant is clean and look high end. I like the idea they still use banana leaf to serve as base for nasi lemak!
Nur Syafiqah,6 months ago,food okayla sedap just sambal a bit manis for me. siapa yg yk makan pedas akan enjoyla . servis cepat harga pun affordable . okaylah .
Yousoff Effendy Mohd Ali,4 years ago,Sambal dia manis2 sikit. Harga dia lebih sikit dari kedai nasi lemak biasa tapi still affordable. Parking dekat situ leceh sikit.
Tsr Academy,9 months ago,"sorry to say. bkn nk mengecam. tpi mmg layak 1 star ja aku bg, ngn pekerja cedok lauk pun rude ngn aku, minta lauk lain boh lauk lain. pastu aku minta tukar tarik muka kata xleh. aku g ber empat. mak aku ambik rendang ayam. balik mual2 â€¦"
Shahrul Nazir,6 months ago,"Delicious and wide range of side orders to choose from. The price depends of the side order u take, a lil pricy but if u crave for a gd nasi lemak, worth it lah. Oh parking is a prob. Kinda limited around this area"
Nasrul Muhaimin,3 months ago,"Bersih, cekap tp sambal xrasa sangat n harga agak premium"
ZH Mercato,10 months ago,"One male worker was very stingy with the Nasi Lemak portion. What do you get when you do this? Charge more if you want, to a certain level people can accept it if the food is tasty, but to do business like this is simply not acceptable. Kudos to the female staff who are much more considerate..."
F A,3 years ago,"Lots of people but ample seats. Efficient system so the queue is long but quick. Great choices of side dish for the nasi lemak, love the paru and sotong. Sambal was a tad sweet to my liking as i  would enjoyed it more if its hotter. Well to each their own."
hajar marlina Zulkifly,9 months ago,One of the best nasi lemak in KL. Consistency is maintained. It tastes the same since i became a regular 5 years ago. My fav are ayam berempah & brgedil. A bit pricey compre to other places but quality is there..
Stephen Abraham,9 months ago,"This is one of the most popular Nasi Lemak place in Kampung Baru. Walking distance from the Kampung Baru LRT metro station. When you get here, there are 2 lines, one for eating in, one for parcel. â€¦"
Ahmad Fariz Azhar,3 years ago,Sedap Nasi Lemak Wanjo ni. Kami datang bertiga pada hari Ahad sekitar jam 230 ptg. Keadaan kedai tidak berapa sesak. Servis sangat pantas. Belum habis order makanan ada yang datang tanya minuman pula. Lepas tu ditanya duduk di mana pula. â€¦
Royce Tai,2 years ago,"Was going to have nasi lemak at another popular stall nearby, but found out about NLWKB instead. â€¦"
Victor Teoh,a year ago,Best nasi lemak in KL! Good spot for a midnight snack.
Gabriel Rots,a week ago,Sad sad nasi lemakâ€¦ chicken so dryâ€¦ my supper is so sadâ€¦ ðŸ˜­ðŸ˜­ðŸ˜­ â€¦
MrNobodysBoss,6 years ago,"Just visited this place during the late morning on a Thrusday, there was no queue. The nasi lemak was not bad, I would say above the average. Taste is there, everything was very tasty, but beef rendang was not tender... rice ok la. I order â€¦"
