Aspect,Emotion,Text
"['nasi lemak', 'chicken', 'beef']","[[{'label': 'sadness', 'score': 0.023186223581433296}, {'label': 'joy', 'score': 0.3458961844444275}, {'label': 'love', 'score': 0.08700871467590332}, {'label': 'anger', 'score': 0.5126566290855408}, {'label': 'fear', 'score': 0.01254169549793005}, {'label': 'surprise', 'score': 0.01871052384376526}]]","The nasi lemak was excellent. However, the chicken were inedible (tough meat). In the beef rendang, there was only sauce with at most 1 piece of meat. When I mentioned it, no attention was given to it."
"['taste', 'flow water', 'juice stuff']","[[{'label': 'sadness', 'score': 0.04466329887509346}, {'label': 'joy', 'score': 0.05043582618236542}, {'label': 'love', 'score': 0.0050542522221803665}, {'label': 'anger', 'score': 0.8902894258499146}, {'label': 'fear', 'score': 0.007926004938781261}, {'label': 'surprise', 'score': 0.0016312245279550552}]]",Ooh i love it. The taste is good. And they have free flow water too. But the juice stuff didn't our fave things in here. The rest is awesome.
"['food', 'avocado', 'chocolate smoothie']","[[{'label': 'sadness', 'score': 0.002843138063326478}, {'label': 'joy', 'score': 0.47600024938583374}, {'label': 'love', 'score': 0.49470385909080505}, {'label': 'anger', 'score': 0.016680479049682617}, {'label': 'fear', 'score': 0.003526050364598632}, {'label': 'surprise', 'score': 0.006246275268495083}]]",Love the food here! Went there two times. The avocado is great. The chocolate smoothie (9MYR) is tasty and filling.
['queue'],"[[{'label': 'sadness', 'score': 0.016742704436182976}, {'label': 'joy', 'score': 0.3739359974861145}, {'label': 'love', 'score': 0.007352323271334171}, {'label': 'anger', 'score': 0.3725001811981201}, {'label': 'fear', 'score': 0.21737512946128845}, {'label': 'surprise', 'score': 0.012093656696379185}]]",There was already a queue when I arrived for breakfast today. It was quite systematic and it didn't take too long for my turn.
"['taste', 'dining space']","[[{'label': 'sadness', 'score': 0.0009723579860292375}, {'label': 'joy', 'score': 0.9959096908569336}, {'label': 'love', 'score': 0.001867021550424397}, {'label': 'anger', 'score': 0.0007209526957012713}, {'label': 'fear', 'score': 0.00019146634440403432}, {'label': 'surprise', 'score': 0.0003384424780961126}]]","The overall taste is good. A standard nasi lemak with no special dishes. The food presentation is in the style of nasi campur. There is ample dining space, and it's a self-service setup"
['side dishes'],"[[{'label': 'sadness', 'score': 0.0037704170681536198}, {'label': 'joy', 'score': 0.2572237551212311}, {'label': 'love', 'score': 0.6101226806640625}, {'label': 'anger', 'score': 0.12136388570070267}, {'label': 'fear', 'score': 0.002921271836385131}, {'label': 'surprise', 'score': 0.0045980000868439674}]]",Not the best but surely not as bad as what the locals had be taunting endlessly. Love the variation of the side dishes. Some I would consider unique too. Will for sure come again and bring my international friends here.
"['parking', 'nasi lemak', 'portion', 'clean', 'spacious']","[[{'label': 'sadness', 'score': 0.0006410613423213363}, {'label': 'joy', 'score': 0.9977306723594666}, {'label': 'love', 'score': 0.0006292776088230312}, {'label': 'anger', 'score': 0.0005472873453982174}, {'label': 'fear', 'score': 0.00015753685147501528}, {'label': 'surprise', 'score': 0.00029408049886114895}]]",Parking is hassle & need to be patience. Packed with people even at night. Their nasi lemak is good. Only the rice portion is a bit small for adults. It would be better if they could improve on that part. The place is clean and spacious!
"['nasi lemak', 'sauce']","[[{'label': 'sadness', 'score': 0.0006558003951795399}, {'label': 'joy', 'score': 0.9973832964897156}, {'label': 'love', 'score': 0.0006284534465521574}, {'label': 'anger', 'score': 0.0006683989195153117}, {'label': 'fear', 'score': 0.0002902339037973434}, {'label': 'surprise', 'score': 0.00037366573815234005}]]",The nasi lemak is rich and flavorful!. The sauce is abundant!! Need to exercise more after such a sumptuous meal.
"['clean environment', 'nasi lemak', 'dish', 'sambal kerang']","[[{'label': 'sadness', 'score': 0.0011606283951550722}, {'label': 'joy', 'score': 0.9948445558547974}, {'label': 'love', 'score': 0.0013917594915255904}, {'label': 'anger', 'score': 0.0017748589161783457}, {'label': 'fear', 'score': 0.00039235682925209403}, {'label': 'surprise', 'score': 0.0004358096921350807}]]",Amazingly super clean restaurant environment. The Nasi Lemak not too bad. I wish the dish will have more milky coconut taste / feel. Sambal kerang is good.
"['nasi lemak', 'smoothie', 'pricing']","[[{'label': 'sadness', 'score': 0.0027101808227598667}, {'label': 'joy', 'score': 0.9894176125526428}, {'label': 'love', 'score': 0.0015970375388860703}, {'label': 'anger', 'score': 0.00460371607914567}, {'label': 'fear', 'score': 0.0009437023545615375}, {'label': 'surprise', 'score': 0.0007277158438228071}]]",Their nasi lemak is delicious and very filling. The smoothie had the perfect amount of sweetness and was not watery. Their pricing is very good.
"['food', 'prices', 'portion']","[[{'label': 'sadness', 'score': 0.11794868111610413}, {'label': 'joy', 'score': 0.3920813798904419}, {'label': 'love', 'score': 0.017764540389180183}, {'label': 'anger', 'score': 0.40769287943840027}, {'label': 'fear', 'score': 0.058112356811761856}, {'label': 'surprise', 'score': 0.006400157697498798}]]",The food was good. But the prices were too high. Even the portion was too small that wasn't enough for one serving
"['staff', 'sambal sauce', 'sotong', 'parking']","[[{'label': 'sadness', 'score': 0.007996069267392159}, {'label': 'joy', 'score': 0.9859195947647095}, {'label': 'love', 'score': 0.00117350067012012}, {'label': 'anger', 'score': 0.0031196465715765953}, {'label': 'fear', 'score': 0.0011705235810950398}, {'label': 'surprise', 'score': 0.000620733539108187}]]","This restaurant is one of the most famous ones for Malaysians. The staff was very fast. Its sambal sauce was special. Sotong was also good. But if you have a car, you need to find a good parking place. enjoy it."
"['shop', 'clean', 'food', 'prices', 'portions', 'squid']","[[{'label': 'sadness', 'score': 0.0002954837691504508}, {'label': 'joy', 'score': 0.9976950287818909}, {'label': 'love', 'score': 0.0013643866404891014}, {'label': 'anger', 'score': 0.00018251371511723846}, {'label': 'fear', 'score': 0.00016142285312525928}, {'label': 'surprise', 'score': 0.00030112097738310695}]]","The shop is very clean. The food is okay. Reasonable prices. The portions are good. Squid fat & shredded rm10, are so delicious, loss if you don't buy"
"['spacious', 'bright', 'clean', 'aircond room']","[[{'label': 'sadness', 'score': 0.0009683810640126467}, {'label': 'joy', 'score': 0.004984206985682249}, {'label': 'love', 'score': 0.9827885031700134}, {'label': 'anger', 'score': 0.006730515044182539}, {'label': 'fear', 'score': 0.0010723582236096263}, {'label': 'surprise', 'score': 0.003456102916970849}]]","Spacious, bright, and clean. We opted for the aircond room as it was a hot day and paid RM1 per person."
"['sambal', 'tea o ais limau']","[[{'label': 'sadness', 'score': 0.007333041168749332}, {'label': 'joy', 'score': 0.46429207921028137}, {'label': 'love', 'score': 0.4824802279472351}, {'label': 'anger', 'score': 0.04163588955998421}, {'label': 'fear', 'score': 0.0013155087362974882}, {'label': 'surprise', 'score': 0.002943227766081691}]]",Sambal was sweet which is unpleasant. I love the tea o ais limau only. 
"['taste', 'clean', 'hygienic', 'staff', 'price']","[[{'label': 'sadness', 'score': 0.008223007433116436}, {'label': 'joy', 'score': 0.9801968336105347}, {'label': 'love', 'score': 0.004644714295864105}, {'label': 'anger', 'score': 0.0037647096905857325}, {'label': 'fear', 'score': 0.0014415807090699673}, {'label': 'surprise', 'score': 0.0017290828982368112}]]","A different experience of Nasi Lemak. The taste is not bad. Very clean and hygienic place. Staff are very polite, well mannered and friendly. The price is surprisingly on the cheap side."
"['sambal', 'portion', 'price']","[[{'label': 'sadness', 'score': 0.003367132041603327}, {'label': 'joy', 'score': 0.989048957824707}, {'label': 'love', 'score': 0.0022068782709538937}, {'label': 'anger', 'score': 0.004105732310563326}, {'label': 'fear', 'score': 0.0006699459045194089}, {'label': 'surprise', 'score': 0.000601317617110908}]]","Delicious, spicy sambal. The portion not bad. The price is a bit more expensive than usual but worth it."
"['price', 'fooded', 'service']","[[{'label': 'sadness', 'score': 0.0005310336709953845}, {'label': 'joy', 'score': 0.9941093921661377}, {'label': 'love', 'score': 0.0008379661594517529}, {'label': 'anger', 'score': 0.0017961622215807438}, {'label': 'fear', 'score': 0.0013270359486341476}, {'label': 'surprise', 'score': 0.0013983749086037278}]]",Gone here with my family. The price is good for dinner. Food is good. Their chicken and begedil is big. Service is fast. No wait at all on saturday night
"['nasi lemak', 'sambal', 'squid sambal', 'parking']","[[{'label': 'sadness', 'score': 0.8436240553855896}, {'label': 'joy', 'score': 0.0066140443086624146}, {'label': 'love', 'score': 0.0007571462192572653}, {'label': 'anger', 'score': 0.08540406823158264}, {'label': 'fear', 'score': 0.06222759932279587}, {'label': 'surprise', 'score': 0.0013729570200666785}]]","The nasi lemak is cooked perfectly. It's delicious and fragrant. It's neither mushy nor lacking in moisture. The sambal is mildly spicy and somewhat sweet and for me, it is tasty even though it's not very thick. The squid sambal also tastes great. The only unsatisfactory thing is hard to find parking"
"['food', 'money', 'priced']","[[{'label': 'sadness', 'score': 0.0007391967810690403}, {'label': 'joy', 'score': 0.9963429570198059}, {'label': 'love', 'score': 0.0010641708504408598}, {'label': 'anger', 'score': 0.0012493287213146687}, {'label': 'fear', 'score': 0.00022292803623713553}, {'label': 'surprise', 'score': 0.000381222169380635}]]",Very yummy food!. Pretty good value for money. I ordered a lot as you can see from my photo and it was very reasonably priced.
"['nasi lemak', 'side dishes', 'portion', 'side dishes', 'air conditioning', 'coway water']","[[{'label': 'sadness', 'score': 0.0026445025578141212}, {'label': 'joy', 'score': 0.984334409236908}, {'label': 'love', 'score': 0.00800693966448307}, {'label': 'anger', 'score': 0.0018143715569749475}, {'label': 'fear', 'score': 0.0013749427162110806}, {'label': 'surprise', 'score': 0.0018249059794470668}]]","The nasi lemak is delicious. I felt sad when the sambal and other side dishes have a small portion of rice. The reason is that there are many side dishes. There are two seating areas. If you want air conditioning, it's an additional RM1 per person, but it's quite nice. It's hot outside. Coway water is provided for free. The iced syrup is delicious."
"['nasi lemak', 'quantity', 'service']","[[{'label': 'sadness', 'score': 0.9133464097976685}, {'label': 'joy', 'score': 0.0018150215037167072}, {'label': 'love', 'score': 0.0005104322335682809}, {'label': 'anger', 'score': 0.06607037037611008}, {'label': 'fear', 'score': 0.017740778625011444}, {'label': 'surprise', 'score': 0.0005169304786249995}]]","Nasi lemak is okay. The quantity is small. The service is very bad. We were eating as a family with a baby and my mother who is differently-abled, and the waiter came and asked us to move the table, saying the boss is angry about tables being connected. Very rude, especially when people are in the middle of their meal. No common sense at all. Will not come again and not recommended to come."
"['staff', 'clean', 'rendang chicken', 'beef']","[[{'label': 'sadness', 'score': 0.002022654050961137}, {'label': 'joy', 'score': 0.9934218525886536}, {'label': 'love', 'score': 0.0017884054686874151}, {'label': 'anger', 'score': 0.0014780153287574649}, {'label': 'fear', 'score': 0.0007752866949886084}, {'label': 'surprise', 'score': 0.0005135718965902925}]]","Wow! Fantastic food, incredible staff and a clean spot. We were in KL for three days and ate there every single day. No joke! A place where locals eat. Both the rendang chicken and beef are excellent. Do not leave here without the potato ball and a mango smoothie."
"['place', 'cheap', 'food']","[[{'label': 'sadness', 'score': 0.0013398445444181561}, {'label': 'joy', 'score': 0.9087557196617126}, {'label': 'love', 'score': 0.000822502130176872}, {'label': 'anger', 'score': 0.0011563474545255303}, {'label': 'fear', 'score': 0.0035807660315185785}, {'label': 'surprise', 'score': 0.0843447744846344}]]","Excellent place. Cheap, only locals inside and very few tourists! 4 of us ate Nasi lemak and ice teh tarik for altogether. 1 ringgit each to sit in an AC room. Overall amazing food, would return"
"['nasi lemak', 'paru', 'limpa', 'ayam masak merah', 'drinks']","[[{'label': 'sadness', 'score': 0.001146290684118867}, {'label': 'joy', 'score': 0.01689061149954796}, {'label': 'love', 'score': 0.9741530418395996}, {'label': 'anger', 'score': 0.004700527060776949}, {'label': 'fear', 'score': 0.0010675158118829131}, {'label': 'surprise', 'score': 0.002041945233941078}]]",Delicious Nasi Lemak. The paru was crunchy yet still soft and the limpa was delicious. Ayam masak merah portion was big and so was the begedil. Drinks was on the sweeter side so ask for less sugar if you don't like them sweet.
"['nasi lemak', 'quick']","[[{'label': 'sadness', 'score': 0.0002643846964929253}, {'label': 'joy', 'score': 0.9980587363243103}, {'label': 'love', 'score': 0.0008100384729914367}, {'label': 'anger', 'score': 0.0003970504621975124}, {'label': 'fear', 'score': 0.00014822946104686707}, {'label': 'surprise', 'score': 0.0003216566110495478}]]","Their mango smoothies are highly recommended! A popular restaurant among locals, specializing in nasi lemak. Not the best I've ever tasted, but it offers good value and is quick."
"['flavor', 'fried chicken', 'quick meal']","[[{'label': 'sadness', 'score': 0.010129010304808617}, {'label': 'joy', 'score': 0.9597975015640259}, {'label': 'love', 'score': 0.005311892833560705}, {'label': 'anger', 'score': 0.02147549018263817}, {'label': 'fear', 'score': 0.0021226052194833755}, {'label': 'surprise', 'score': 0.001163521665148437}]]","The flavor of the food becoming worse and worse. At one point, even the fried chicken was unflavourful. I used to love coming here for a quick meal and great teh ais. But I wouldn't repeat my visit after spending RM50 for two."
['nasi lemak'],"[[{'label': 'sadness', 'score': 0.009781303815543652}, {'label': 'joy', 'score': 0.9709466099739075}, {'label': 'love', 'score': 0.008988826535642147}, {'label': 'anger', 'score': 0.00860507134348154}, {'label': 'fear', 'score': 0.000778141082264483}, {'label': 'surprise', 'score': 0.0008998690755106509}]]",Good nasi lemak served here..
"['taste', 'sambal']","[[{'label': 'sadness', 'score': 0.005536487326025963}, {'label': 'joy', 'score': 0.02523278072476387}, {'label': 'love', 'score': 0.3506741225719452}, {'label': 'anger', 'score': 0.5845499634742737}, {'label': 'fear', 'score': 0.018390536308288574}, {'label': 'surprise', 'score': 0.015616150572896004}]]",The taste has gone down. The sambal not spicy
"['clean', 'staff', 'nasi lemak', 'varieties', 'dishes', 'parking']","[[{'label': 'sadness', 'score': 0.019879937171936035}, {'label': 'joy', 'score': 0.7319725155830383}, {'label': 'love', 'score': 0.008101663552224636}, {'label': 'anger', 'score': 0.22643029689788818}, {'label': 'fear', 'score': 0.00987991876900196}, {'label': 'surprise', 'score': 0.0037355737295001745}]]","The place is clean. The staff are friendly. Most importantly the Nasi Lemak is awesome. Many varieties and selections of dishes to compliment the main menu as we all love it. One tip tho, come early for better parking."
"['fried chicken', 'rice', 'sambal', 'anchovies']","[[{'label': 'sadness', 'score': 0.001571886707097292}, {'label': 'joy', 'score': 0.00039910487248562276}, {'label': 'love', 'score': 0.0009551480179652572}, {'label': 'anger', 'score': 0.9868916869163513}, {'label': 'fear', 'score': 0.009488034062087536}, {'label': 'surprise', 'score': 0.000694126239977777}]]","Only the fried chicken is tough and cold, not juicy. The rest, I like fragrant rice. The sambal is good. The anchovies are burnt."
"['place', 'service', 'price']","[[{'label': 'sadness', 'score': 0.0012560579925775528}, {'label': 'joy', 'score': 0.9957382678985596}, {'label': 'love', 'score': 0.0014008504804223776}, {'label': 'anger', 'score': 0.0006626771064475179}, {'label': 'fear', 'score': 0.0004283552407287061}, {'label': 'surprise', 'score': 0.0005137294647283852}]]",I love this place. Good service. The price affordable and reasonable.
"['place', 'food']","[[{'label': 'sadness', 'score': 0.00017655862029641867}, {'label': 'joy', 'score': 0.993636965751648}, {'label': 'love', 'score': 0.005319696385413408}, {'label': 'anger', 'score': 0.0002886252186726779}, {'label': 'fear', 'score': 0.00013657986710313708}, {'label': 'surprise', 'score': 0.00044150263420306146}]]",The best place. waiter is full of smiles. delicious food hot and fresh
"['clean', 'place', 'service', 'rice', 'sambal']","[[{'label': 'sadness', 'score': 0.029944313690066338}, {'label': 'joy', 'score': 0.912458598613739}, {'label': 'love', 'score': 0.0025654539931565523}, {'label': 'anger', 'score': 0.04623621329665184}, {'label': 'fear', 'score': 0.0059817638248205185}, {'label': 'surprise', 'score': 0.0028136945329606533}]]",Clean place. fast service. rice and sambal is average. seems overrated by all reviewing this place.
['nasi lemak'],"[[{'label': 'sadness', 'score': 0.002362336264923215}, {'label': 'joy', 'score': 0.9886283278465271}, {'label': 'love', 'score': 0.003632770851254463}, {'label': 'anger', 'score': 0.0033036137465387583}, {'label': 'fear', 'score': 0.0011886414140462875}, {'label': 'surprise', 'score': 0.0008843222167342901}]]",the best nasi lemak in town
"['portion', 'taste']","[[{'label': 'sadness', 'score': 0.0007036107126623392}, {'label': 'joy', 'score': 0.9967814683914185}, {'label': 'love', 'score': 0.0003592674038372934}, {'label': 'anger', 'score': 0.0004181304248049855}, {'label': 'fear', 'score': 0.00032473859027959406}, {'label': 'surprise', 'score': 0.0014128442853689194}]]","The rice portion is very small, not worth it. The taste is just ordinary."
"['nasi lemak', 'workers']","[[{'label': 'sadness', 'score': 0.00279023265466094}, {'label': 'joy', 'score': 0.0003719302185345441}, {'label': 'love', 'score': 0.0004475493624340743}, {'label': 'anger', 'score': 0.9894008040428162}, {'label': 'fear', 'score': 0.006660378538072109}, {'label': 'surprise', 'score': 0.00032902773818932474}]]",Nasi lemak is a bit hard. Unfriendly workers still hanging out even when customers come in
"['service', 'restroom', 'clean']","[[{'label': 'sadness', 'score': 0.0006696171476505697}, {'label': 'joy', 'score': 0.9979384541511536}, {'label': 'love', 'score': 0.0003586067177820951}, {'label': 'anger', 'score': 0.0002865852729883045}, {'label': 'fear', 'score': 0.0004074721073266119}, {'label': 'surprise', 'score': 0.00033932345104403794}]]",Very delicious. Been here twice. The service is also the best. The restroom is very clean and feels comfortable
"['nasi lemak', 'environment', 'clean']","[[{'label': 'sadness', 'score': 0.0006081844330765307}, {'label': 'joy', 'score': 0.9979791045188904}, {'label': 'love', 'score': 0.0007683092262595892}, {'label': 'anger', 'score': 0.0002893710625357926}, {'label': 'fear', 'score': 0.0001826783554861322}, {'label': 'surprise', 'score': 0.00017237379506696016}]]",Delicious nasi lemak. Ensure that the shop environment is always clean and cheerful.
"['queue', 'moves', 'service', 'rendang daging', 'sambal kerang', 'avocado', 'mango smoothies', 'parking']","[[{'label': 'sadness', 'score': 0.040892262011766434}, {'label': 'joy', 'score': 0.19158633053302765}, {'label': 'love', 'score': 0.005353889893740416}, {'label': 'anger', 'score': 0.44991329312324524}, {'label': 'fear', 'score': 0.29876017570495605}, {'label': 'surprise', 'score': 0.013494066894054413}]]",So we arrived around 10.30am. The queue was long but moves very fast. 100 for the service. We really love their rendang daging and sambal kerang. The freshly made avocado + mango smoothies were really good too! Parking was quite hard to find.
"['customer service', 'chicken', 'smoothies']","[[{'label': 'sadness', 'score': 0.0003921754832845181}, {'label': 'joy', 'score': 0.9962931275367737}, {'label': 'love', 'score': 0.00047545420238748193}, {'label': 'anger', 'score': 0.0006345498259179294}, {'label': 'fear', 'score': 0.0005413247272372246}, {'label': 'surprise', 'score': 0.0016633468912914395}]]","Oh man, where to even start!. This here is hands down where you are going to find the best nasi lemak in the city! The people are extremely nice and the customer service is amazing! They have many different kinds of chicken. They also make incredible smoothies! "
"['food', 'nasi lemak', 'rice', 'sambal', 'clean']","[[{'label': 'sadness', 'score': 0.00043677061330527067}, {'label': 'joy', 'score': 0.9961305856704712}, {'label': 'love', 'score': 0.002311757765710354}, {'label': 'anger', 'score': 0.00044865519157610834}, {'label': 'fear', 'score': 0.0002702036581467837}, {'label': 'surprise', 'score': 0.00040202445234172046}]]","The food doesnt live up to all the hype and buzz created by the media. Tastes like the average nasi lemak from any roadside stall. The rice isnt particularly fragrant. And the sambal,  nothing to shout about (a little too spicy though). But it has clean comfy seating, and popular with foreign tourists."
"['taste', 'clean', 'hygienic', 'staff', 'price']","[[{'label': 'sadness', 'score': 0.0022909820545464754}, {'label': 'joy', 'score': 0.9904757142066956}, {'label': 'love', 'score': 0.003823420964181423}, {'label': 'anger', 'score': 0.001559490105137229}, {'label': 'fear', 'score': 0.0006606902461498976}, {'label': 'surprise', 'score': 0.0011896190699189901}]]","A different experience of Nasi Lemak. The taste not bad. Very clean and hygienic place. Staff are very polite, well mannered and friendly. Price is surprisingly on the cheap side."
"['queue', 'management']","[[{'label': 'sadness', 'score': 0.0032879128120839596}, {'label': 'joy', 'score': 0.1924070119857788}, {'label': 'love', 'score': 0.011259986087679863}, {'label': 'anger', 'score': 0.7882413864135742}, {'label': 'fear', 'score': 0.0013729536440223455}, {'label': 'surprise', 'score': 0.003430785844102502}]]","First time eating at this place. It was fully seated, and we had to queue, but fortunately, it wasn't too long. Kudos to the management!"
"['sambal', 'portion', 'price']","[[{'label': 'sadness', 'score': 0.003367132041603327}, {'label': 'joy', 'score': 0.989048957824707}, {'label': 'love', 'score': 0.0022068782709538937}, {'label': 'anger', 'score': 0.004105732310563326}, {'label': 'fear', 'score': 0.0006699459045194089}, {'label': 'surprise', 'score': 0.000601317617110908}]]","Delicious, spicy sambal. Portion not bad. The price is a bit more expensive than usual but worth it."
"['service', 'clean', 'atmosphere', 'nasi lemak']","[[{'label': 'sadness', 'score': 0.002645296510308981}, {'label': 'joy', 'score': 0.9945974349975586}, {'label': 'love', 'score': 0.0009444314055144787}, {'label': 'anger', 'score': 0.0010330756194889545}, {'label': 'fear', 'score': 0.00024767438299022615}, {'label': 'surprise', 'score': 0.0005320840864442289}]]","I recently visited Restaurant Nasi Lemak WanJo and my experience was mixed. The service was decent. The restaurant was clean. The atmosphere was okay, nothing too special. The nasi lemak itself was okay, it was decent but nothing "
"['queue', 'service', 'rice', 'sambal']","[[{'label': 'sadness', 'score': 0.0006838661502115428}, {'label': 'joy', 'score': 0.015067537315189838}, {'label': 'love', 'score': 0.9787934422492981}, {'label': 'anger', 'score': 0.0032815327867865562}, {'label': 'fear', 'score': 0.0008856176282279193}, {'label': 'surprise', 'score': 0.0012879936257377267}]]","Long queue before can reach the counter. However, the service is fast. The rice is nice and creamy. Sambal is on sweeter side. Very focused menu serving only Nasi Lemak with fewer side dishes spread. "
"['taste', 'service']","[[{'label': 'sadness', 'score': 0.9920752048492432}, {'label': 'joy', 'score': 0.0006012386875227094}, {'label': 'love', 'score': 0.0002246498770546168}, {'label': 'anger', 'score': 0.005182776600122452}, {'label': 'fear', 'score': 0.0015969756059348583}, {'label': 'surprise', 'score': 0.0003190568822901696}]]","The taste of the food is still great in the new atmosphere. However, I am very disappointed with the service. When I came in during a quiet hour, the crew simply ignored me, and one of them even left, making me wait to place my order."
"['service', 'staff', 'price']","[[{'label': 'sadness', 'score': 0.002278018044307828}, {'label': 'joy', 'score': 0.9907059073448181}, {'label': 'love', 'score': 0.0034271085169166327}, {'label': 'anger', 'score': 0.0012420695275068283}, {'label': 'fear', 'score': 0.0012368037132546306}, {'label': 'surprise', 'score': 0.0011101893614977598}]]",The service was quite fast as there's a lot of friendly staff to assist you with your food choice. Affordable price too.
"['nasi lemak', 'side dishes', 'clean', 'staff']","[[{'label': 'sadness', 'score': 0.0003550306137185544}, {'label': 'joy', 'score': 0.9987195730209351}, {'label': 'love', 'score': 0.0003761870029848069}, {'label': 'anger', 'score': 0.00024129822850227356}, {'label': 'fear', 'score': 0.00013423062046058476}, {'label': 'surprise', 'score': 0.0001736754784360528}]]","Their Nasi Lemak has a strong coconut milk flavor but is simply delicious. There is a wide variety of side dishes. restaurant is kept quite clean. The staff is very friendly, and the way they handle their work seems efficient. Overall, it's worth repeating"
"['taste', 'price']","[[{'label': 'sadness', 'score': 0.0008197139832191169}, {'label': 'joy', 'score': 0.9934037327766418}, {'label': 'love', 'score': 0.0013228743337094784}, {'label': 'anger', 'score': 0.003655922133475542}, {'label': 'fear', 'score': 0.0003222297818865627}, {'label': 'surprise', 'score': 0.000475454842671752}]]",Will always come and eat here whenever I am at Kampung Baru. The taste has not changed since the first time I ate it long long time ago. I grew up in Kampung Baru. The price is competitive but of course it good.
"['service', 'nasi lemak']","[[{'label': 'sadness', 'score': 0.9825719594955444}, {'label': 'joy', 'score': 0.00272862589918077}, {'label': 'love', 'score': 0.0015955811832100153}, {'label': 'anger', 'score': 0.01139069814234972}, {'label': 'fear', 'score': 0.0012506279163062572}, {'label': 'surprise', 'score': 0.00046253035543486476}]]","The service was fast. When it came to the food, I was a little disappointed because the nasi lemak tasted salty. I bought several types of side dishes."
['sambal'],"[[{'label': 'sadness', 'score': 0.002058661775663495}, {'label': 'joy', 'score': 0.966097354888916}, {'label': 'love', 'score': 0.005855713039636612}, {'label': 'anger', 'score': 0.02417623996734619}, {'label': 'fear', 'score': 0.0005667783552780747}, {'label': 'surprise', 'score': 0.001245330087840557}]]","I find the sambal quite unappealing, and it fails to bring any enjoyment to my palate."
"['nasi lemak', 'rice', 'rendang ayam', 'parking']","[[{'label': 'sadness', 'score': 0.02069629356265068}, {'label': 'joy', 'score': 0.8198121190071106}, {'label': 'love', 'score': 0.014792145229876041}, {'label': 'anger', 'score': 0.06716489791870117}, {'label': 'fear', 'score': 0.05584907904267311}, {'label': 'surprise', 'score': 0.02168547548353672}]]","Tasty nasi lemak with a variety of lauk. Rice is soft but in normal portions. Rendang Ayam tastes great, similar to the one you ordered at Paparich. Parking is rm3 for 3 hours near this restaurant."
"['nasi lemak', 'fried chicken', 'parking', 'parking']","[[{'label': 'sadness', 'score': 0.0005217803991399705}, {'label': 'joy', 'score': 0.9960790276527405}, {'label': 'love', 'score': 0.0004605738795362413}, {'label': 'anger', 'score': 0.0006115141441114247}, {'label': 'fear', 'score': 0.0008396545890718699}, {'label': 'surprise', 'score': 0.0014875129563733935}]]","An interesting place to enjoy nasi lemak. The fried chicken might be a bit tough, maybe because it's from an outside source. Overall, it's still okay. Just be clever in finding a parking spot, it's a bit challenging with this car parking situation."
"['nasi lemak', 'price', 'clean']","[[{'label': 'sadness', 'score': 0.0015794042265042663}, {'label': 'joy', 'score': 0.9961609840393066}, {'label': 'love', 'score': 0.000943974475376308}, {'label': 'anger', 'score': 0.0005128449411131442}, {'label': 'fear', 'score': 0.00040523282950744033}, {'label': 'surprise', 'score': 0.00039753972669132054}]]",Love the nasi lemak here!. The price was affordable and the place was surprisingly clean.
"['parking', 'staff']","[[{'label': 'sadness', 'score': 0.00019783445168286562}, {'label': 'joy', 'score': 0.9891359806060791}, {'label': 'love', 'score': 0.009879008866846561}, {'label': 'anger', 'score': 0.0002703630016185343}, {'label': 'fear', 'score': 0.00010911752906395122}, {'label': 'surprise', 'score': 0.00040775290108285844}]]","Been here 3 times already. The only downside going here is the difficulty in finding a parking spot, as it is in Kg Baru. But once you reach the restaurant, you'll forget about it. You will be greeted by a helpful staff letting you know."
"['lungs', 'aircond']","[[{'label': 'sadness', 'score': 0.00933332834392786}, {'label': 'joy', 'score': 0.9119430780410767}, {'label': 'love', 'score': 0.0034041579347103834}, {'label': 'anger', 'score': 0.04793187975883484}, {'label': 'fear', 'score': 0.023469259962439537}, {'label': 'surprise', 'score': 0.003918087109923363}]]","The lungs are a bit cluttered, no spicy. There is an aircond place .. RM1 a person"
"['dishes', 'taste', 'sambal', 'service']","[[{'label': 'sadness', 'score': 0.011052380315959454}, {'label': 'joy', 'score': 0.6882445216178894}, {'label': 'love', 'score': 0.0036223067436367273}, {'label': 'anger', 'score': 0.061523448675870895}, {'label': 'fear', 'score': 0.22198963165283203}, {'label': 'surprise', 'score': 0.013567685149610043}]]","A variety of dishes to choose from. The taste is great. The sambal is sweet, sour, and spicy. There is almost always a line, but the service is fast, although you can expect a 10-20 minute waiting time. The place is expanding, and you can opt for the air-conditioned dining area as an add-on."
"['nasi lemak', 'place']","[[{'label': 'sadness', 'score': 0.002364430110901594}, {'label': 'joy', 'score': 0.9931566119194031}, {'label': 'love', 'score': 0.0010910904966294765}, {'label': 'anger', 'score': 0.0009921714663505554}, {'label': 'fear', 'score': 0.0015592697309330106}, {'label': 'surprise', 'score': 0.000836470047943294}]]","Located on the busy street in Kg Baru, this is the best nasi lemak in Kg Baru, if not in KL. A comfortable place for all day and late night dining"
